developer	publisher	positive	negative	average_forever	average_2weeks	median_forever	median_2weeks	price	initialprice	languages	tags	genre	appid	num_lang
mestiez	Studio Minus	180103	2175	2611	239	932	270	9.99	9.99	English	{'Sandbox': 1406, 'Physics': 1070, 'Gore': 1056, 'Violent': 964, 'Blood': 958, 'Moddable': 954, '2D': 924, 'Singleplayer': 916, 'Destruction': 770, 'Simulation': 722, 'Funny': 662, 'Building': 632, 'Pixel Graphics': 561, 'Psychological Horror': 424, 'Indie': 423, 'Casual': 419, 'Action': 418, 'Horror': 397, 'Comedy': 384, 'Choose Your Own Adventure': 317}	Action, Casual, Indie, Simulation	1118200	1
Mega Crit Games	Mega Crit Games	128625	2779	4790	170	2118	170	24.99	24.99	English, Simplified Chinese, French, German, Korean, Russian, Japanese, Polish, Ukrainian, Spanish - Spain, Italian, Dutch, Traditional Chinese, Turkish, Thai, Portuguese - Brazil, Vietnamese	{'Roguelike Deckbuilder': 1560, 'Card Game': 1447, 'Card Battler': 1437, 'Rogue-like': 1157, 'Deckbuilding': 1004, 'Turn-Based': 847, 'Strategy': 699, 'Singleplayer': 609, 'Rogue-lite': 560, 'Replay Value': 476, 'Indie': 454, 'Difficult': 301, 'Dungeon Crawler': 286, 'RPG': 217, 'Mouse only': 192, 'Great Soundtrack': 120, '2D': 118, 'Procedural Generation': 114, 'Fantasy': 111, 'Casual': 77}	Indie, Strategy	646570	23
adamgryu	adamgryu	13187	98	153	0	105	0	7.99	7.99	English, French, Spanish - Latin America, Japanese, Portuguese - Brazil	{'Adventure': 167, 'Exploration': 163, 'Indie': 156, 'Cute': 155, 'Relaxing': 153, 'Pixel Graphics': 118, 'Nature': 97, 'Great Soundtrack': 87, 'Casual': 85, 'Singleplayer': 83, 'Open World': 83, '3D Platformer': 81, 'Short': 79, 'Family Friendly': 62, 'Beautiful': 61, 'Funny': 58, 'Flight': 57, 'Walking Simulator': 56, 'Female Protagonist': 52, 'Third Person': 40}	Adventure, Indie	1055540	10
Askiisoft	Devolver Digital	56314	1064	496	192	304	192	14.99	14.99	English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese	{'Pixel Graphics': 935, 'Action': 795, 'Great Soundtrack': 767, 'Story Rich': 729, 'Platformer': 724, 'Cyberpunk': 669, '2D Platformer': 590, 'Indie': 563, '2D': 493, 'Hack and Slash': 470, 'Fast-Paced': 456, 'Violent': 441, 'Difficult': 416, 'Singleplayer': 408, 'Time Manipulation': 381, 'Ninja': 352, 'Gore': 345, 'Retro': 342, 'Noir': 235, 'Sci-fi': 215}	Action, Indie	460950	16
CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	128666	3750	1115	28	834	37	39.99	39.99	English, French, Italian, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Traditional Chinese, Japanese, Korean, Portuguese - Brazil, Arabic, Thai	{'Zombies': 1203, 'Survival Horror': 1023, 'Horror': 980, 'Remake': 729, 'Singleplayer': 726, 'Third Person': 679, 'Gore': 622, 'Action': 588, 'Atmospheric': 493, 'Puzzle': 491, 'Violent': 457, 'Story Rich': 451, 'Survival': 423, 'Classic': 421, 'Multiplayer': 386, 'Female Protagonist': 354, 'Dark': 337, 'Adventure': 311, 'Shooter': 296, 'Difficult': 267}	Action	883710	20
ghosthunter	ghosthunter	10906	152	0	0	0	0	0.0	0.0	English, Russian, Portuguese - Brazil, Spanish - Latin America, Japanese, Simplified Chinese, Spanish - Spain	{'Free to Play': 263, 'Pixel Graphics': 229, 'RPG': 194, 'Indie': 161, 'Singleplayer': 158, 'Story Rich': 151, 'Adventure': 144, 'Cute': 141, 'Multiple Endings': 125, 'RPGMaker': 119, 'Turn-Based': 111, 'Female Protagonist': 94, 'Great Soundtrack': 93, '2D': 83, 'Emotional': 55, 'Short': 44, 'JRPG': 39, 'Turn-Based Combat': 30, 'Atmospheric': 27, 'Horror': 20}	Adventure, Free to Play, Indie, RPG	1170880	15
Hempuli Oy	Hempuli Oy	17409	346	561	34	254	34	14.99	14.99	English, Spanish - Spain, Korean, Norwegian, Polish, Thai, French, Italian, Dutch, Japanese, Portuguese - Portugal, Portuguese - Brazil, Turkish, Vietnamese, German, Czech, Traditional Chinese	{'Puzzle': 525, 'Indie': 361, 'Difficult': 318, 'Singleplayer': 240, 'Pixel Graphics': 223, 'Logic': 217, 'Cute': 192, '2D': 176, 'Programming': 175, 'Sokoban': 152, 'Great Soundtrack': 98, 'Minimalist': 48, 'Casual': 45, 'Level Editor': 24, 'Top-Down': 22, 'Retro': 18, 'Atmospheric': 16, 'Strategy': 14, 'Funny': 11, 'Souls-like': 9}	Indie	736260	24
CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	18572	456	2049	534	1562	534	29.99	29.99	Japanese, English, French, German, Simplified Chinese, Traditional Chinese, Korean	{'Detective': 361, 'Visual Novel': 343, 'Story Rich': 312, 'Mystery': 288, 'Great Soundtrack': 279, 'Anime': 259, 'Adventure': 206, 'Singleplayer': 193, 'Puzzle': 190, 'Crime': 186, 'Point & Click': 154, 'Funny': 151, 'Classic': 132, 'Cult Classic': 112, 'Comedy': 105, 'Conversation': 89, '2D': 89, 'Memes': 51, 'Dynamic Narration': 49, 'Casual': 46}	Adventure	787480	9
Klei Entertainment	Klei Entertainment	96361	3392	4508	388	689	125	24.99	24.99	English, Simplified Chinese, Korean, Russian	{'Colony Sim': 1972, 'Base-Building': 1832, 'Survival': 1714, 'Resource Management': 1383, 'Building': 1125, 'Singleplayer': 1033, 'Management': 858, 'Simulation': 823, '2D': 808, 'Sandbox': 802, 'Strategy': 744, 'Space': 638, 'Indie': 504, 'Sci-fi': 458, 'Exploration': 409, 'Difficult': 399, 'Open World': 399, 'Adventure': 313, 'Multiplayer': 282, 'Space Sim': 255}	Indie, Simulation	457140	5
Popcannibal	Popcannibal	8038	137	62	0	54	0	4.99	4.99	English	{'Emotional': 190, 'Relaxing': 186, 'Cozy': 184, 'Wholesome': 178, 'Multiplayer': 171, 'Experience': 166, 'Atmospheric': 160, 'Cute': 154, 'Casual': 152, 'Indie': 147, 'Music': 147, 'Experimental': 138, 'Colorful': 134, 'Asynchronous Multiplayer': 134, 'Psychological': 131, 'LGBTQ+': 120, 'Memes': 116, '3D': 106, 'Stylized': 101, 'Funny': 98}	Casual, Indie	1070710	1
