developer	publisher	positive	negative	average_forever	average_2weeks	median_forever	median_2weeks	price	initialprice	languages	tags	genre	appid	num_lang
GoodbyeWorld Games	Skybound Games	9980	227	117	0	115	0	9.99	9.99	English, French, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese	{'Emotional': 149, 'Narrative': 145, 'Story Rich': 134, 'Indie': 116, 'First-Person': 103, 'Walking Simulator': 92, 'Interactive Fiction': 86, 'Adventure': 86, 'Cartoony': 78, 'Singleplayer': 71, 'Hand-drawn': 69, 'Colorful': 68, 'Mystery': 65, 'Surreal': 63, 'Psychological': 61, 'Cute': 61, 'Drama': 58, 'Stylized': 56, 'Philosophical': 55, 'Family Friendly': 49}	Adventure, Indie	1082430	12
Gratesca	Thermite Games	4880	71	668	0	1095	0	12.99	12.99	Simplified Chinese	{'Singleplayer': 247, 'Choices Matter': 241, 'Visual Novel': 232, 'Word Game': 228, 'Story Rich': 222, 'Choose Your Own Adventure': 214, 'Anime': 206, 'Female Protagonist': 202, 'Cute': 196, 'Indie': 193, 'Interactive Fiction': 188, 'Adventure': 186, '2D': 183, 'Investigation': 181, 'Replay Value': 180, 'Dark Humor': 180, 'Multiple Endings': 166, 'Conspiracy': 152, 'Comedy': 147, 'Crime': 144}	Adventure, Casual, Indie, RPG	1250760	2
Sbug Games	Sbug Games	9923	229	614	15	268	15	9.99	9.99	English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Simplified Chinese	{'2D Platformer': 442, 'Cute': 436, 'Pixel Graphics': 425, 'Physics': 421, 'Puzzle-Platformer': 408, 'Exploration': 397, '2D': 377, 'Platformer': 370, 'Relaxing': 341, 'Family Friendly': 335, 'Action': 317, 'Indie': 314, 'Puzzle': 300, 'Colorful': 276, 'Cartoony': 275, 'Nature': 255, 'Collectathon': 244, 'Fantasy': 217, 'Atmospheric': 181, 'Retro': 178}	Action, Adventure, Indie	1390350	14
Doborog Games	Doborog Games	21723	673	818	103	595	103	19.99	19.99	English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Japanese, Korean	{'Robots': 301, 'Action': 287, '3D Fighter': 262, 'Swordplay': 249, 'Fighting': 227, 'Multiplayer': 214, 'Indie': 210, 'Funny': 199, 'Singleplayer': 187, 'Voxel': 186, 'Pixel Graphics': 183, 'Co-op': 183, 'Third Person': 181, 'Online Co-Op': 179, 'Rogue-like': 176, 'Futuristic': 176, 'Difficult': 172, 'Comedy': 168, 'Survival': 168, 'Dark Humor': 158}	Action, Indie	597170	19
Goose Minded	HypeTrain Digital	6097	122	184	0	119	0	0.0	0.0	English, French, Spanish - Spain, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Turkish, Japanese, German, Polish	{'Simulation': 136, 'Singleplayer': 122, 'Free to Play': 121, 'Sandbox': 118, 'Realistic': 113, 'First-Person': 111, 'Funny': 107, 'Physics': 105, 'Family Friendly': 89, 'Adventure': 84, 'Casual': 77, 'Indie': 64, 'Life Sim': 47, '3D': 46, 'Relaxing': 41, 'Immersive Sim': 41, 'Management': 40, 'Resource Management': 31, 'Story Rich': 30, 'Multiplayer': 28}	Action, Adventure, Casual, Free to Play, Indie, Simulation	1469280	20
二色幽紫蝶, Re零同人社	二色幽紫蝶, Re零同人社	14028	403	1315	159	939	159	5.99	5.99	Simplified Chinese, English, Japanese, Korean	"{'Casual': 444, 'Pixel Graphics': 439, 'RPG': 405, 'Simulation': 395, 'Faith': 380, 'Time Management': 374, 'Comedy': 348, 'JRPG': 313, 'Anime': 306, '2D': 279, 'Colorful': 233, 'Clicker': 231, 'Cartoon': 221, 'Drama': 167, ""1990's"": 165, 'Old School': 142, 'Story Rich': 122, 'Female Protagonist': 100, 'Multiple Endings': 96, 'Cooking': 80}"	Casual, Indie, RPG, Simulation	1584090	5
Codrin Bradea	Codrin Bradea	2303	16	38	0	38	0	1.99	1.99	Romanian	{'Hentai': 158, 'Sexual Content': 138, 'Adventure': 120, 'Nudity': 94, 'LGBTQ+': 88, '2D': 88, 'Gore': 86, 'Violent': 78, 'Comedy': 74, 'Multiple Endings': 71, 'Singleplayer': 67, 'Point & Click': 66, 'Psychological Horror': 64, 'Indie': 58, 'Choices Matter': 57, 'Casual': 55, 'Horror': 47, 'Anime': 45, 'Pixel Graphics': 42, 'Funny': 41}	Adventure, Casual, Indie	1530140	1
		0	0	0	0	0	0	0.0	0.0		[]		1708870	0
GIBBING TREE, LLC	GIBBING TREE, LLC	11562	327	1273	0	1142	0	24.99	24.99	English	"{'Gore': 384, 'Arena Shooter': 379, ""Beat 'em up"": 377, 'Hack and Slash': 374, 'Shooter': 373, 'Gun Customization': 373, 'Funny': 368, 'Character Customization': 352, '3D': 341, 'Third Person': 335, 'Action': 331, 'Combat': 331, 'Third-Person Shooter': 330, 'Controller': 329, 'Blood': 324, 'Violent': 313, 'Atmospheric': 294, 'Co-op': 287, 'Local Co-Op': 257, 'Dark': 238}"	Action, Indie	488860	1
Team Salvato	Serenity Forge	18966	627	402	2	542	2	14.99	14.99	English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Korean, Japanese	{'Psychological Horror': 943, 'Visual Novel': 781, 'Anime': 780, 'Dating Sim': 705, 'Sexual Content': 575, 'Cute': 574, 'Romance': 552, 'Story Rich': 496, 'Multiple Endings': 414, 'Singleplayer': 401, 'Gore': 395, '2D': 346, 'Interactive Fiction': 298, 'Text-Based': 285, 'Violent': 284, 'Conversation': 260, 'Dark Humor': 249, 'Casual': 227, 'Indie': 220, 'Choose Your Own Adventure': 203}	Casual, Indie	1388880	21
Nikita Kryukov	Nikita Kryukov	10450	291	56	3	52	3	8.99	8.99	Russian, English, Simplified Chinese, Turkish, Portuguese - Brazil, Polish, Spanish - Spain, Korean, Japanese	{'Psychological Horror': 207, 'Visual Novel': 206, 'Psychedelic': 167, 'Pixel Graphics': 149, 'Story Rich': 123, 'Abstract': 112, '2D': 105, 'Multiple Endings': 103, 'Indie': 99, 'Text-Based': 87, 'Psychological': 85, 'Singleplayer': 80, 'Horror': 70, 'Surreal': 69, 'Anime': 68, 'Great Soundtrack': 60, 'Female Protagonist': 59, 'Casual': 58, 'Choices Matter': 36, 'Point & Click': 32}	Casual, Indie	1604000	14
		0	0	0	0	0	0	0.0	0.0		[]		1713610	0
しらたまこ	inc.ZOFE, Syawase Works China	2117	17	301	0	410	0	19.99	19.99	English, Not supported, Japanese, Simplified Chinese	{'Visual Novel': 69, 'Adventure': 66, 'Cute': 56, 'Anime': 52, 'Linear': 39, 'Singleplayer': 38, 'Sexual Content': 5}	Adventure	1567800	6
CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	88958	3949	1110	85	919	130	39.99	39.99	English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Arabic, Thai	{'Survival Horror': 514, 'Horror': 492, 'First-Person': 462, 'Singleplayer': 437, 'Sexual Content': 401, 'Action': 389, 'Zombies': 359, 'Gore': 345, 'Story Rich': 308, 'Atmospheric': 294, 'Violent': 283, 'FPS': 281, 'Dark': 242, 'Psychological Horror': 226, 'Survival': 224, 'Adventure': 210, 'Open World': 168, 'VR': 129, 'Multiplayer': 127, 'Nudity': 106}	Action	1196590	19
Double Fine Productions	Xbox Game Studios	8851	243	976	0	1262	0	59.99	59.99	English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Spanish - Latin America	{'Story Rich': 174, '3D Platformer': 172, 'Psychological': 151, 'Comedy': 149, 'Singleplayer': 149, 'Adventure': 141, 'Funny': 126, 'Platformer': 125, 'Psychedelic': 121, 'Cartoony': 117, 'Colorful': 117, 'Action': 116, 'Sequel': 103, 'Surreal': 101, 'Third Person': 98, 'Action-Adventure': 89, 'Great Soundtrack': 84, 'Cult Classic': 81, 'Controller': 66, 'Arcade': 44}	Action, Adventure	607080	15
Jannis Brinkmann	Jannis Brinkmann	0	0	0	0	0	0	0.0	0.0	English	[]	Action, Free to Play	1255980	1
Hazelight	Electronic Arts	119271	5575	1078	100	929	139	19.99	39.99	English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese	{'Co-op': 1169, 'Multiplayer': 719, 'Split Screen': 647, 'Local Co-Op': 584, 'Puzzle': 577, 'Adventure': 534, 'Online Co-Op': 519, 'Story Rich': 415, 'Local Multiplayer': 362, 'Co-op Campaign': 344, 'Puzzle-Platformer': 328, '3D Platformer': 308, 'Action-Adventure': 288, 'Platformer': 277, 'Emotional': 270, 'Action': 248, 'Atmospheric': 232, 'Exploration': 223, 'Female Protagonist': 204, 'Minigames': 189}	Action, Adventure	1426210	18
Hello Games	Hello Games	5322	121	217	168	253	168	14.99	14.99	English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish	{'Puzzle': 285, 'Adventure': 277, 'Singleplayer': 266, 'Indie': 251, 'Emotional': 250, 'Cute': 248, 'Story Rich': 243, 'Atmospheric': 242, 'Relaxing': 229, 'Fantasy': 226, 'Family Friendly': 220, 'Narration': 210, '3D Platformer': 210, 'Soundtrack': 190, 'Dark Fantasy': 189, 'Puzzle-Platformer': 182, 'Philosophical': 180, '3D': 171, 'Controller': 164, 'Dark': 150}	Adventure, Indie	990630	20
Santa Goat	Santa Goat	8015	222	661	0	745	0	15.99	15.99	English, French, German, Italian, Norwegian, Polish, Romanian, Russian, Ukrainian	{'Early Access': 255, 'Choose Your Own Adventure': 231, 'Exploration': 229, 'Racing': 223, 'Sandbox': 219, 'Building': 214, 'Driving': 214, 'Automobile Sim': 207, 'Life Sim': 205, 'Crafting': 200, 'Physics': 192, 'ATV': 191, 'Motorbike': 189, 'First-Person': 186, '3D': 186, 'Relaxing': 172, 'Third Person': 171, 'Open World': 170, 'Snow': 160, 'Casual': 156}	Adventure, Casual, Indie, Racing, Simulation, Early Access	1520370	9
