;App_id;24_Hour_Peak;All_time_peak
0;1145360;4389;37586
1;546560;374;16459
2;1089980;116;2787
3;1229490;1779;16093
4;1289310;116;6489
5;1144400;336;1429
6;1150690;557;3107
7;1281930;21954;37755
8;1230140;69;448
9;548430;15538;46392
10;739630;15234;112241
11;1129190;265;1754
12;526870;12218;34145
13;1240210;107;1327
14;1113000;1191;29984
15;427520;12801;34640
16;667970;326;1366
17;1057090;2668;31224
18;632360;6643;71033
19;1241510;Invalid;Invalid
20;1392820;12;70
21;1369320;346;1766
22;1277930;118;703
23;1292940;106;882
24;1428310;2;119
25;1282200;2;184
26;1406990;34;2512
27;1434480;113;319
28;1171370;4;49
29;1211020;1188;3121
30;1285670;13;123
31;1281800;55;1153
32;1202540;14;264
33;897220;76;190
34;1337010;20;192
35;1369340;28;276
36;610370;183;5997
37;362890;1571;7116
38;1178030;2;109
39;1126320;379;5709
40;1172450;147;909
41;1140270;59;1153
42;1377360;6;167
43;1102190;866;14037
44;1241700;11;153
45;1318690;325;2582
46;1161870;4;88
47;346010;334;11120
48;972660;1700;5474
49;753640;1050;7936
50;881100;1863;5183
51;1349230;48;640
52;1237970;12105;27547
53;1235140;1566;9508
54;1104380;5;137
55;1239080;420;900
56;1449690;327;1462
57;466630;11;160
58;1419860;2;82
59;1218900;16;1272
60;837470;185;1669
61;1168470;Invalid;Invalid
62;1232180;9;293
63;1211630;139;10435
64;1079260;67;764
65;1349060;9;45
66;1216200;28;493
67;805590;6;21
68;1222140;957;7194
69;1368860;0;192
70;1468260;2061;8115
71;1340130;7;72
72;1201280;Invalid;Invalid
73;638230;142;1073
74;1049410;72;1255
75;914800;73;673
76;1286710;13;118
77;1162750;120;586
78;473950;18;324
79;1249880;Invalid;Invalid
80;1062160;185;1852
81;1175140;4;235
82;1100140;20;90
83;1293820;20;157
84;953490;77;3730
85;1217390;14;763
86;969990;179;5058
87;375480;150;4858
88;1275890;19;185
89;1238730;4;94
90;1367550;280;3183
91;1293860;5;1101
92;1049100;0;384
93;1216080;Invalid;Invalid
94;895870;286;2089
95;1297160;Invalid;Invalid
96;1444350;Invalid;Invalid
97;848480;301;3779
98;1460090;Invalid;Invalid
99;1080110;554;23766
100;1071130;Invalid;Invalid
101;1345740;9;131
102;1210250;49;746
103;470310;325;993
104;1156990;34;256
105;1271710;17;379
106;1045720;16;241
107;1064460;Invalid;Invalid
108;1164050;4;67
109;1283130;1;73
110;1114940;81;485
111;326460;1230;7346
112;926340;Invalid;Invalid
113;1246020;7;146
114;851850;846;25715
115;913740;39;646
116;955740;24;722
117;1263850;4400;93775
118;1151440;43;249
119;1363430;47;161
120;1299120;7;722
121;1111370;5;86
122;1200720;7;177
123;1139890;29;263
124;1435310;1;28
125;946050;386;11281
126;692890;114;811
127;1054490;618;1392
128;1004770;4;107
129;852090;2;38
130;1295510;819;4752
131;1451740;0;73
132;965680;30;173
133;1129920;Invalid;Invalid
134;1299370;11;268
135;1102130;22;136
136;1430420;9;85
137;875610;Invalid;Invalid
138;412220;1976;3030
139;418530;471;6937
140;1012790;134;483
141;1016920;238;9651
142;1227890;677;4903
143;874390;165;430
144;1169200;2;21
145;1148590;32;951
146;978780;198;3682
147;960690;134;2360
148;1406040;Invalid;Invalid
149;1181400;1;38
150;1084640;10;163
151;1094820;1;71
152;1158310;31843;98474
153;894940;113;1644
154;1130410;14;119
155;956030;27;266
156;725480;8;756
157;1166990;45;101
158;1275640;32;497
159;1162070;7;93
160;1304550;24;51
161;1145960;33;717
162;1335560;17;71
163;1224290;17;133
164;1264520;Invalid;Invalid
165;858260;15;136
166;1416130;Invalid;Invalid
167;1258310;Invalid;Invalid
168;1146970;17;669
169;1194840;1;199
170;1238680;6;63
171;573090;2336;6722
172;773790;304;1237
173;823910;34;695
174;591460;13;937
175;1385730;6;366
176;1301620;Invalid;Invalid
177;1176050;15;132
178;1275350;300;738
179;985890;172;6042
180;803330;31;6279
181;1274140;Invalid;Invalid
182;1194740;Invalid;Invalid
183;1179210;25;472
184;1475380;Invalid;Invalid
185;1289640;0;5
186;1139900;293;5033
187;1348700;Invalid;Invalid
188;1146370;58;146
189;1347780;14;147
190;1290220;9;34
191;1437830;521;1019
192;1052990;13;250
193;1344740;2;85
194;1389630;Invalid;Invalid
195;638490;23;409
196;1379630;24;95
197;1397920;1200;5093
198;1348180;4;35
199;1283190;32;213
200;1178050;Invalid;Invalid
201;1223810;7;168
202;550320;44;421
203;904750;3;27
204;1252320;Invalid;Invalid
205;865540;14;36
206;782330;1383;84865
207;785790;11;605
208;1160220;24;291
209;1150950;5;188
210;1207650;82;935
211;1234810;Invalid;Invalid
212;1416240;1;169
213;955050;10;1867
214;1089090;308;7222
215;1116580;13;134
216;1225780;12;232
217;876650;53;376
218;1162650;8;333
219;1347030;0;57
220;1260820;52;214
221;1382200;3;42
222;1288170;Invalid;Invalid
223;1330890;7;55
224;656350;142;3234
225;1356670;94;6953
226;814370;604;1376
227;994910;58;70
228;1100150;18;32
229;1450830;33;195
230;524910;33;228
231;1210030;3;528
232;1375540;Invalid;Invalid
233;1172620;14235;66632
234;1212620;4;245
235;1351170;3;27
236;1281790;Invalid;Invalid
237;1414020;2;15
238;1078200;3;43
239;883590;0;32
240;924980;65;6794
241;1278360;0;31
242;1332470;2;390
243;893850;120;1051
244;1361700;Invalid;Invalid
245;1311660;0;43
246;1233950;11;291
247;1284240;0;114
248;1211110;Invalid;Invalid
249;1186640;29;401
250;1086410;23;211
251;1306750;2;32
252;1240630;36;55
253;1183500;Invalid;Invalid
254;1163740;Invalid;Invalid
255;1302990;7;49
256;1404360;Invalid;Invalid
257;1232130;5;523
258;757320;174;618
259;1096180;Invalid;Invalid
260;1241520;Invalid;Invalid
261;290690;Invalid;Invalid
262;1257410;Invalid;Invalid
263;1437340;0;6
264;1318790;Invalid;Invalid
265;1291790;8;40
266;1293230;6;2512
267;1420540;Invalid;Invalid
268;1286350;60;1540
269;913060;1;60
270;1226530;Invalid;Invalid
271;1174400;Invalid;Invalid
272;1296840;142;236
273;1252780;345;1166
274;1397030;Invalid;Invalid
275;1213210;1330;29136
276;1334700;Invalid;Invalid
277;1380390;9;103
278;1478070;Invalid;Invalid
279;1232570;Invalid;Invalid
280;1357870;6;59
281;792710;13;353
282;1139980;361;2223
283;1397980;0;36
284;817840;20;1079
285;865040;Invalid;Invalid
286;1273250;1;39
287;949600;11;31
288;1286330;Invalid;Invalid
289;1189850;1;27
290;1216490;Invalid;Invalid
291;1286830;10223;27416
292;1178490;111;1186
293;1100160;5;19
294;1478410;0;46
295;1000030;58;400
296;1150460;Invalid;Invalid
297;1375530;Invalid;Invalid
298;1196630;24;1162
299;1177420;8;299
300;1373920;Invalid;Invalid
301;589290;714;3419
302;1060600;1;39
303;1338250;0;10
304;1202900;13;274
305;574980;39;1396
306;1234520;3;175
307;1443430;Invalid;Invalid
308;1314460;0;78
309;1405440;Invalid;Invalid
310;1299320;5;230
311;1229580;7;177
312;1015940;Invalid;Invalid
313;1465860;1;369
314;991270;120;1922
315;1411670;0;8
316;1292690;118;423
317;810040;15;221
318;1192640;6;1067
319;1235110;26;122
320;938560;8;421
321;1236990;10;661
322;445220;805;4517
323;1212400;1;58
324;998740;186;1233
325;983970;35;572
326;1318090;13;58
327;1302800;0;13
328;1069760;2;146
329;1100990;48;190
330;1178780;9;38
331;1213740;90;15594
332;1347430;9;1144
333;1154810;24;560
334;1094420;Invalid;Invalid
