,App_id,24_Hour_Peak,All_time_peak
39198,2026990,Invalid,Invalid
39199,2184610,0,3
39200,911430,38,1222
39201,438460,Invalid,Invalid
39202,1508280,Invalid,Invalid
39203,2009460,Invalid,Invalid
39204,2086540,Invalid,Invalid
39205,2124670,Invalid,Invalid
39206,1609010,Invalid,Invalid
39207,1717510,Invalid,Invalid
39208,1520380,14,89
39209,1048370,775,6406
39210,1854130,0,5
39211,2016080,8,68
39212,1264790,Invalid,Invalid
39213,1427620,Invalid,Invalid
39214,1493160,Invalid,Invalid
39215,1526350,Invalid,Invalid
39216,1862710,Invalid,Invalid
39217,1935580,Invalid,Invalid
39218,2114430,Invalid,Invalid
39219,1122700,Invalid,Invalid
39220,1290750,3,26
39221,1901780,Invalid,Invalid
39222,1255630,337,9535
39223,919360,18,197
39224,1138650,0,74
39225,2160150,Invalid,Invalid
39226,1047950,Invalid,Invalid
39227,1582500,Invalid,Invalid
39228,1943030,2,10
39229,1965580,1,4
39230,1969830,0,6
39231,2074710,1,7
39232,2168590,98,363
39233,1541220,Invalid,Invalid
39234,1787920,0,40
39235,2008410,1,8
39236,1729410,34,1399
39237,640700,Invalid,Invalid
39238,1315660,Invalid,Invalid
39239,1654680,Invalid,Invalid
39240,1725860,Invalid,Invalid
39241,1835510,Invalid,Invalid
39242,1880250,Invalid,Invalid
39243,1885660,Invalid,Invalid
39244,1914100,0,2
39245,1933070,0,2
39246,1971730,Invalid,Invalid
39247,2068360,0,2
39248,2114660,Invalid,Invalid
39249,2156070,Invalid,Invalid
39250,2170890,Invalid,Invalid
39251,2171830,Invalid,Invalid
39252,1857140,Invalid,Invalid
39253,727930,Invalid,Invalid
39254,1992370,3,411
39255,1563180,155,3497
39256,602240,0,4
39257,1508000,0,3
39258,1520310,Invalid,Invalid
39259,1633640,Invalid,Invalid
39260,1727140,Invalid,Invalid
39261,1728430,Invalid,Invalid
39262,1738540,Invalid,Invalid
39263,1743930,Invalid,Invalid
39264,1758320,Invalid,Invalid
39265,1790330,Invalid,Invalid
39266,1826410,Invalid,Invalid
39267,1841760,0,5
39268,1844990,Invalid,Invalid
39269,1851450,Invalid,Invalid
39270,1853080,Invalid,Invalid
39271,1860590,Invalid,Invalid
39272,1897460,0,0
39273,1904640,0,3
39274,1906110,Invalid,Invalid
39275,1911530,Invalid,Invalid
39276,1916150,Invalid,Invalid
39277,1916940,Invalid,Invalid
39278,1922140,0,6
39279,1924020,Invalid,Invalid
39280,1925600,Invalid,Invalid
39281,1925930,Invalid,Invalid
39282,1936140,Invalid,Invalid
39283,1943810,0,1
39284,1950820,0,1
39285,1995210,Invalid,Invalid
39286,2004940,Invalid,Invalid
39287,2013970,Invalid,Invalid
39288,2026750,Invalid,Invalid
39289,2064970,0,1
39290,2087350,Invalid,Invalid
39291,2090040,Invalid,Invalid
39292,2091230,Invalid,Invalid
39293,2092070,Invalid,Invalid
39294,2104780,Invalid,Invalid
39295,2111390,Invalid,Invalid
39296,2113150,Invalid,Invalid
39297,2115400,Invalid,Invalid
39298,2137620,Invalid,Invalid
39299,2158710,0,0
39300,2159230,Invalid,Invalid
39301,2160320,Invalid,Invalid
39302,2165370,Invalid,Invalid
39303,2167840,Invalid,Invalid
39304,2167900,Invalid,Invalid
39305,2168000,Invalid,Invalid
39306,2183480,Invalid,Invalid
39307,2201420,Invalid,Invalid
39308,2208770,Invalid,Invalid
39309,2210760,Invalid,Invalid
39310,1660860,Invalid,Invalid
39311,1670700,Invalid,Invalid
39312,1726410,Invalid,Invalid
39313,1773330,Invalid,Invalid
39314,1823980,Invalid,Invalid
39315,1825350,1,13
39316,1830980,Invalid,Invalid
39317,1841070,Invalid,Invalid
39318,1856550,Invalid,Invalid
39319,1868310,Invalid,Invalid
39320,1880720,Invalid,Invalid
39321,1885160,0,2
39322,1887990,Invalid,Invalid
39323,1914000,Invalid,Invalid
39324,1953020,0,2
39325,1978750,0,2
39326,1989150,0,1
39327,2012340,Invalid,Invalid
39328,2107290,0,2
39329,2153610,12,16
39330,2161580,Invalid,Invalid
39331,2207060,Invalid,Invalid
39332,2239340,Invalid,Invalid
39333,1545830,8,100
39334,1953510,Invalid,Invalid
39335,1797300,10,103
39336,1840130,Invalid,Invalid
39337,1901030,0,21
39338,1969430,0,4
39339,2004370,Invalid,Invalid
39340,2017700,0,6
39341,2182450,0,4
39342,1291210,Invalid,Invalid
39343,1933320,1,17
39344,1122360,Invalid,Invalid
39345,1432910,15,582
39346,1945220,Invalid,Invalid
39347,1233530,Invalid,Invalid
39348,1708520,2078,23797
39349,1259440,99,1012
39350,1856910,Invalid,Invalid
39351,2124770,2,43
39352,346330,21,1116
39353,1912760,41,57
39354,1870320,1,405
39355,1833380,Invalid,Invalid
39356,2211190,Invalid,Invalid
39357,1872680,27,167
39358,2011860,Invalid,Invalid
39359,1875310,38,85
39360,951570,0,10
39361,1739600,2,189
39362,1761260,0,31
39363,2020630,0,67
39364,1798600,0,4
39365,1591450,5,130
39366,1115610,0,1
39367,1604210,Invalid,Invalid
39368,1779790,0,2
39369,1954880,0,21
39370,1975160,Invalid,Invalid
39371,1977360,0,2
39372,2066490,2,8
39373,2129390,1,5
39374,2133360,0,1
39375,2172470,Invalid,Invalid
39376,1599340,62637,1324761
39377,2073900,Invalid,Invalid
39378,2085490,Invalid,Invalid
39379,1470420,Invalid,Invalid
39380,1651090,Invalid,Invalid
39381,1491000,24,60
39382,1509780,0,30
39383,1132760,4,585
39384,1989560,4,132
39385,1094920,Invalid,Invalid
39386,1185490,1,60
39387,1499700,3,7
39388,935400,8,67
39389,1884540,6,87
39390,1956740,46,491
39391,1828100,Invalid,Invalid
39392,2064650,2728,7164
39393,1788540,Invalid,Invalid
39394,1094960,Invalid,Invalid
39395,1132980,4,215
39396,1076120,Invalid,Invalid
39397,1521070,0,122
39398,1628130,Invalid,Invalid
39399,1851020,Invalid,Invalid
39400,1791120,4,82
39401,1485070,1,37
39402,2071520,9,172
39403,1071140,12,921
39404,1325890,0,73
39405,1355620,Invalid,Invalid
39406,1745520,Invalid,Invalid
39407,1750170,Invalid,Invalid
39408,1867290,Invalid,Invalid
39409,1887630,Invalid,Invalid
39410,1903480,Invalid,Invalid
39411,1916340,6,25
39412,2093270,Invalid,Invalid
39413,2103190,Invalid,Invalid
39414,2109610,Invalid,Invalid
39415,2237940,Invalid,Invalid
39416,1463830,Invalid,Invalid
39417,1516680,0,11
39418,1998250,0,4
39419,2009730,0,4
39420,2157070,0,1
39421,1307710,124,455
39422,1597290,3,127
39423,2062940,Invalid,Invalid
39424,1265800,5,32
39425,1854800,Invalid,Invalid
39426,1257280,6,142
39427,1666250,5,259
39428,1165470,Invalid,Invalid
39429,1602880,1,32
39430,1958270,0,30
39431,1915340,0,3
39432,2129970,Invalid,Invalid
39433,2018130,Invalid,Invalid
39434,1803960,Invalid,Invalid
39435,1488430,0,200
39436,838070,Invalid,Invalid
39437,938710,Invalid,Invalid
39438,952000,Invalid,Invalid
39439,1002590,Invalid,Invalid
39440,1047320,Invalid,Invalid
39441,1107860,Invalid,Invalid
39442,1283690,Invalid,Invalid
39443,1305640,Invalid,Invalid
39444,1366070,Invalid,Invalid
39445,1397830,Invalid,Invalid
39446,1408930,Invalid,Invalid
39447,1486300,Invalid,Invalid
39448,1488070,0,3
39449,1497290,Invalid,Invalid
39450,1514730,Invalid,Invalid
39451,1535420,Invalid,Invalid
39452,1566350,Invalid,Invalid
39453,1572170,0,0
39454,1582730,0,2
39455,1599700,Invalid,Invalid
39456,1599930,Invalid,Invalid
39457,1604600,Invalid,Invalid
39458,1649480,Invalid,Invalid
39459,1678510,0,1
39460,1681990,0,2
39461,1682320,0,4
39462,1686860,Invalid,Invalid
39463,1697060,Invalid,Invalid
39464,1699980,Invalid,Invalid
39465,1700860,Invalid,Invalid
39466,1704250,Invalid,Invalid
39467,1721240,Invalid,Invalid
39468,1727400,Invalid,Invalid
39469,1741480,Invalid,Invalid
39470,1763160,Invalid,Invalid
39471,1778520,Invalid,Invalid
39472,1780430,0,1
39473,1785100,Invalid,Invalid
39474,1787040,Invalid,Invalid
39475,1789050,0,1
39476,1796930,Invalid,Invalid
39477,1798720,Invalid,Invalid
39478,1810450,Invalid,Invalid
39479,1810530,Invalid,Invalid
39480,1815800,0,2
39481,1823020,Invalid,Invalid
39482,1824110,Invalid,Invalid
39483,1828070,Invalid,Invalid
39484,1828770,Invalid,Invalid
39485,1833530,Invalid,Invalid
39486,1850610,Invalid,Invalid
39487,1860710,Invalid,Invalid
39488,1862100,Invalid,Invalid
39489,1862250,Invalid,Invalid
39490,1863940,Invalid,Invalid
39491,1865160,Invalid,Invalid
39492,1867050,Invalid,Invalid
39493,1867820,Invalid,Invalid
39494,1870020,Invalid,Invalid
39495,1878000,Invalid,Invalid
39496,1879690,Invalid,Invalid
39497,1884350,Invalid,Invalid
39498,1884440,Invalid,Invalid
39499,1891840,Invalid,Invalid
39500,1895240,Invalid,Invalid
39501,1896630,Invalid,Invalid
39502,1903420,Invalid,Invalid
39503,1912330,Invalid,Invalid
39504,1918080,Invalid,Invalid
39505,1918100,Invalid,Invalid
39506,1920810,0,1
39507,1921450,0,0
39508,1921460,Invalid,Invalid
39509,1923290,2,5
39510,1923420,Invalid,Invalid
39511,1924460,Invalid,Invalid
39512,1926660,0,0
39513,1927370,Invalid,Invalid
39514,1928330,0,1
39515,1928850,Invalid,Invalid
39516,1932480,Invalid,Invalid
39517,1933060,Invalid,Invalid
39518,1953530,Invalid,Invalid
