,App_id,Review
0,1794680,6
1,1332010,6
2,1583720,6
3,1290000,6
4,1593500,6
5,1533420,6
6,1999360,6
7,1687950,6
8,1942280,6
9,1684930,9
10,1817070,9
11,1424330,6
12,1868140,6
13,1985690,6
14,1677770,6
15,1455840,9
16,1167630,6
17,1059990,6
18,1260520,6
19,1901370,9
20,1586800,9
21,1948280,6
22,1969080,9
23,1061910,6
24,2070550,9
25,658920,6
26,1284190,6
27,1665190,9
28,1718570,6
29,799640,9
30,1927720,9
31,1328840,6
32,1293180,9
33,1275670,6
34,674140,6
35,2237980,6
36,1574270,9
37,1829980,9
38,1350650,6
39,1262350,6
40,1171320,9
41,2206340,9
42,1776970,9
43,2088570,6
44,1599600,9
45,1740100,6
46,2135690,9
47,1865780,9
48,1115050,9
49,1239690,6
50,1827680,6
51,1732180,9
52,1451940,9
53,1599020,9
54,1935660,9
55,1035990,9
56,1657630,9
57,1359980,9
58,975370,9
59,1269640,9
60,1336490,6
61,1902490,9
62,648800,9
63,1955330,9
64,1062520,9
65,1148760,9
66,2083040,6
67,2106520,9
68,615120,9
69,1313140,6
70,1535560,6
71,1848450,9
72,799600,9
73,1522870,9
74,2113430,9
75,1997680,9
76,1717770,9
77,1574580,9
78,1215390,6
79,2240530,9
80,1986840,9
81,2058180,9
82,1488200,9
83,2207540,9
84,949480,6
85,1562700,6
86,2085360,9
87,1903370,9
88,2124380,9
89,1718870,9
90,1888430,6
91,1939160,9
92,1515210,6
93,2057080,9
94,1817940,9
95,1629530,9
96,1834870,9
97,1706930,6
98,1703340,9
99,1401590,9
100,1725640,9
101,1063660,9
102,1179080,6
103,1205520,9
104,1817000,9
105,1768640,9
106,659540,9
107,1733060,9
108,1730680,9
109,1147550,6
110,2058190,6
111,1155970,6
112,1888010,9
113,1361510,9
114,1135230,9
115,1745510,6
116,1777430,9
117,1822910,9
118,1942120,9
119,1817190,9
120,1786790,9
121,1668510,9
122,1237320,9
123,1487270,9
124,2088270,9
125,1865060,9
126,1588530,9
127,1701800,9
128,1245620,9
129,1328350,9
130,1585220,6
131,1737100,9
132,1865440,9
133,1379870,9
134,1850480,9
135,964800,9
136,1954750,6
137,1896700,9
138,1949960,9
139,1684410,9
140,1871310,9
141,1712830,9
142,2171440,6
143,1694420,9
144,1296770,9
145,1296540,6
146,1854430,9
147,1287040,9
148,1850570,9
149,2088250,9
150,595500,9
151,1296830,9
152,1910580,9
153,1109570,9
154,2066550,6
155,1874170,9
156,1853200,9
157,1578650,6
158,1902710,9
159,1881340,9
160,1740930,9
161,2119940,9
162,2113540,6
163,1975120,9
164,1923790,9
165,1970460,9
166,2226870,9
167,1998530,9
168,1545990,9
169,1966900,9
170,1977530,9
171,1878740,9
172,1967510,9
173,898890,9
174,1182110,9
175,2056560,9
176,1980530,9
177,1984350,9
178,2112520,9
179,1785820,9
180,1604380,9
181,1743850,9
182,1962920,6
183,1621310,9
184,1883260,9
185,1895300,6
186,1425760,9
187,1679210,9
188,1834920,9
189,1846170,9
190,553420,9
191,1919460,9
192,2085800,9
193,1723260,9
194,1932570,9
195,1755100,9
196,1051690,9
197,1210320,9
198,1988540,9
199,2059670,9
200,920210,9
201,1608290,9
202,552080,6
203,1972710,9
204,980610,9
205,2067920,9
206,1615290,9
207,1532710,9
208,1985260,9
209,1761390,9
210,1150760,9
211,1249480,9
212,1944250,9
213,1954200,9
214,2060130,9
215,1511780,9
216,1428100,9
217,1791610,9
218,1944240,9
219,1594320,9
220,1684660,9
221,1972440,9
222,1070790,9
223,1309000,9
224,950620,9
225,1621690,9
226,1975360,6
227,2062930,9
228,1457220,9
229,1927740,9
230,1572920,9
231,2165610,9
232,1689910,9
233,1921900,9
234,1720850,9
235,1769170,9
236,2091250,9
237,1338580,9
238,1600900,9
