appid,new_date
294100,2018-10-17
960090,2018-12-18
504230,2018-01-25
588650,2018-08-06
264710,2018-01-24
531510,2018-05-31
519860,2018-12-10
683320,2018-12-13
432350,2018-11-30
629730,2018-12-11
617670,2018-11-15
644560,2018-04-19
242760,2018-04-30
653530,2018-10-18
909080,2018-09-20
844930,2018-05-24
871720,2018-06-27
638970,2018-08-01
899970,2018-07-27
233860,2018-12-06
888790,2018-10-26
456750,2018-11-13
508900,2018-05-17
553310,2018-10-24
858940,2018-07-26
760890,2018-01-04
897330,2018-08-17
880950,2018-09-21
730820,2018-03-22
825630,2018-05-08
860950,2018-10-09
714010,2018-02-07
787860,2018-11-19
995460,2018-12-25
788770,2018-02-26
790060,2018-02-14
816340,2018-10-17
885810,2018-10-31
568220,2018-04-09
342560,2018-08-16
334940,2018-05-29
613100,2018-05-17
799070,2018-02-22
590380,2018-02-27
866800,2018-08-14
976940,2018-12-09
609320,2018-05-17
743390,2018-11-13
673950,2018-10-11
686200,2018-09-10
528230,2018-03-16
765410,2018-08-22
604330,2018-11-26
802870,2018-10-26
589780,2018-01-22
855640,2018-09-21
567380,2018-12-25
368340,2018-09-21
453090,2018-11-29
753220,2018-02-19
917680,2018-08-30
530320,2018-09-27
868520,2018-11-15
882710,2018-08-17
336140,2018-08-08
884260,2018-09-10
858760,2018-05-22
804700,2018-05-17
868980,2018-12-18
744190,2018-01-11
764790,2018-08-30
668350,2018-06-14
781440,2018-02-20
945360,2018-11-16
802890,2018-02-28
846470,2018-06-07
758530,2018-01-05
793350,2018-03-12
658850,2018-10-24
852110,2018-05-21
587220,2018-09-21
850000,2018-05-15
773670,2018-01-25
791470,2018-02-14
743450,2018-04-27
927890,2018-12-07
648390,2018-04-13
862570,2018-06-15
838310,2018-05-24
979600,2018-12-03
809020,2018-09-28
787070,2018-11-16
291860,2018-03-02
754150,2018-04-27
795100,2018-04-13
882110,2018-11-14
857450,2018-08-24
410340,2018-09-13
389140,2018-05-15
747250,2018-11-16
824270,2018-04-03
525510,2018-03-02
323190,2018-04-24
600480,2018-09-13
650700,2018-01-10
815780,2018-03-15
971680,2018-11-23
393190,2018-11-07
878750,2018-08-17
731490,2018-06-29
599390,2018-05-02
744810,2018-01-11
820730,2018-04-26
845070,2018-06-25
843260,2018-08-14
510420,2018-10-16
334920,2018-04-27
963710,2018-11-05
801630,2018-08-21
944220,2018-10-26
785890,2018-05-29
859680,2018-09-27
744800,2018-01-11
963690,2018-11-06
748490,2018-02-14
888090,2018-08-13
733340,2018-03-13
716490,2018-10-22
753420,2018-02-15
736190,2018-09-29
757240,2018-01-28
616250,2018-08-22
863550,2018-11-13
233610,2018-09-18
822930,2018-05-04
535930,2018-08-30
904740,2018-08-03
600990,2018-09-20
848350,2018-12-06
648580,2018-09-04
688420,2018-11-16
448850,2018-05-31
473770,2018-12-15
673880,2018-11-15
349250,2018-04-19
827290,2018-04-16
783120,2018-06-29
601050,2018-03-15
822760,2018-05-04
802880,2018-02-28
355170,2018-11-16
922460,2018-11-01
931500,2018-10-26
469820,2018-01-18
876850,2018-08-17
774461,2018-10-17
950460,2018-10-31
866540,2018-06-20
758090,2018-01-26
743130,2018-12-07
882140,2018-11-15
956240,2018-12-03
800620,2018-03-15
841770,2018-10-15
678950,2018-01-26
570940,2018-05-23
925440,2018-10-01
728880,2018-08-07
445980,2018-05-15
963000,2018-11-22
417290,2018-03-13
428080,2018-07-17
701160,2018-12-11
757480,2018-11-29
658550,2018-09-11
882790,2018-08-08
631510,2018-03-13
762610,2018-08-02
620210,2018-03-30
322450,2018-05-17
16900,2018-08-14
922400,2018-11-21
766280,2018-06-15
853550,2018-11-23
757210,2018-04-24
285920,2018-08-10
917290,2018-09-06
955560,2018-10-10
760060,2018-12-04
746400,2018-02-14
792100,2018-08-23
949370,2018-10-17
628070,2018-01-17
913010,2018-08-17
952420,2018-12-16
851530,2018-05-04
943380,2018-10-12
891510,2018-09-07
812140,2018-10-05
702670,2018-08-28
852480,2018-10-29
692130,2018-07-31
959750,2018-11-14
608110,2018-05-03
779990,2018-07-30
396710,2018-04-03
873200,2018-06-16
823580,2018-05-02
896460,2018-08-21
701380,2018-04-24
782340,2018-08-28
564050,2018-04-20
845880,2018-07-11
961660,2018-11-05
332950,2018-09-27
559620,2018-11-16
771310,2018-03-14
847370,2018-11-16
942850,2018-12-17
829110,2018-10-16
833040,2018-04-13
810660,2018-05-25
742300,2018-10-02
510680,2018-04-17
598700,2018-07-13
907000,2018-08-03
416600,2018-01-17
664750,2018-05-11
923260,2018-11-13
880940,2018-09-20
431930,2018-05-29
840010,2018-12-18
864060,2018-11-16
591630,2018-02-01
796790,2018-06-14
590950,2018-11-14
851670,2018-06-26
595520,2018-02-01
890750,2018-08-20
315460,2018-07-10
534550,2018-08-21
742250,2018-02-08
836490,2018-05-09
527230,2018-04-19
762930,2018-04-12
466110,2018-07-26
939620,2018-09-24
950140,2018-10-16
714800,2018-06-29
792030,2018-05-31
