appid,new_date
1118200,2019-07-23
646570,2019-01-23
1055540,2019-07-30
460950,2019-04-18
883710,2019-01-25
1170880,2019-10-30
736260,2019-03-13
787480,2019-04-09
457140,2019-07-30
1070710,2019-09-12
1093910,2019-09-26
851100,2019-02-26
1067310,2019-08-24
942970,2019-03-29
620980,2019-05-21
1044620,2019-09-27
814380,2019-03-22
601150,2019-03-08
601220,2019-12-11
1067850,2019-07-30
512900,2019-07-12
926990,2019-07-26
1122720,2019-12-12
1082710,2019-11-21
557340,2019-06-20
732690,2019-05-28
1122750,2019-08-02
812810,2019-05-30
813780,2019-11-14
1127400,2019-09-26
943700,2019-06-19
1160490,2019-11-11
992310,2019-04-24
1147690,2019-10-01
858210,2019-03-27
1069230,2019-07-26
844590,2019-03-12
774171,2019-06-20
1038740,2019-08-15
944020,2019-07-23
1031480,2019-03-18
1064610,2019-05-03
980300,2019-04-15
1103210,2019-07-09
1045520,2019-07-25
611760,2019-03-11
986800,2019-12-10
692850,2019-06-18
927380,2019-05-09
1198320,2019-12-24
1033420,2019-08-16
314650,2019-06-11
1046030,2019-04-04
813630,2019-04-05
572890,2019-01-24
598980,2019-02-22
914710,2019-09-24
1058020,2019-05-02
621000,2019-07-04
1010750,2019-05-09
1018850,2019-05-31
937580,2019-04-02
621060,2019-01-29
977950,2019-01-25
996580,2019-09-03
1058640,2019-07-11
966320,2019-09-18
1049280,2019-10-07
801480,2019-08-29
913550,2019-11-15
752590,2019-05-13
632470,2019-10-15
900270,2019-06-04
597760,2019-04-25
1007040,2019-07-11
681280,2019-05-07
673130,2019-06-20
1079160,2019-09-09
1072390,2019-05-09
965820,2019-06-18
1169040,2019-12-12
494150,2019-10-24
1043340,2019-04-15
866440,2019-01-11
976730,2019-12-03
970560,2019-12-10
1002560,2019-02-28
440310,2019-06-14
1200860,2019-12-19
937170,2019-05-20
1071120,2019-06-10
359510,2019-10-22
992740,2019-02-13
655500,2019-10-07
933480,2019-02-14
934840,2019-01-01
578620,2019-07-18
1109460,2019-11-11
1012880,2019-07-25
1005300,2019-10-17
916730,2019-05-30
1057680,2019-04-30
1012240,2019-02-13
1004240,2019-04-12
834530,2019-02-19
1184770,2019-11-22
1010890,2019-07-20
1064730,2019-06-20
1092590,2019-09-26
1109410,2019-10-10
1146950,2019-10-29
1098340,2019-06-24
666140,2019-01-15
1048540,2019-05-31
948830,2019-03-21
930910,2019-02-19
1040550,2019-11-17
361420,2019-02-06
1046820,2019-04-03
1092720,2019-10-15
939600,2019-07-25
447150,2019-02-28
741140,2019-12-20
1070550,2019-07-29
1044490,2019-06-21
1047440,2019-07-23
823500,2019-12-10
604240,2019-03-08
1080750,2019-09-19
1026840,2019-05-08
382560,2019-09-19
1158470,2019-11-07
677620,2019-05-24
433550,2019-08-15
588030,2019-01-25
1073390,2019-08-09
1037190,2019-03-28
710710,2019-09-06
1109130,2019-08-16
1043240,2019-06-19
844660,2019-02-15
1056490,2019-06-28
1047220,2019-12-09
981020,2019-07-10
1146510,2019-10-25
594130,2019-08-21
585420,2019-09-18
954740,2019-11-14
805550,2019-05-29
959080,2019-01-15
952290,2019-08-06
622220,2019-03-19
1069740,2019-06-21
679900,2019-07-22
1058000,2019-04-19
909190,2019-02-14
1084570,2019-06-10
489520,2019-05-24
1121910,2019-09-24
1021950,2019-03-01
1079800,2019-11-07
1098490,2019-10-11
1036950,2019-04-04
572220,2019-10-10
1017180,2019-09-25
1174180,2019-12-05
505230,2019-05-23
951830,2019-02-15
976390,2019-02-01
968350,2019-12-31
1100800,2019-08-12
846030,2019-08-12
910630,2019-02-12
970570,2019-01-23
1094530,2019-11-15
1073440,2019-06-10
951000,2019-03-29
702050,2019-08-13
703080,2019-11-05
971210,2019-04-29
1101180,2019-09-27
983150,2019-03-15
1026820,2019-04-12
1005930,2019-01-19
923910,2019-06-05
1187510,2019-11-27
761600,2019-01-15
1182370,2019-11-15
948740,2019-09-18
939330,2019-01-10
1172980,2019-11-06
631570,2019-04-17
1147750,2019-09-20
1104660,2019-10-25
1106770,2019-09-04
619150,2019-01-17
1072420,2019-12-10
889510,2019-01-22
751780,2019-04-18
976010,2019-03-07
1042550,2019-10-17
969700,2019-01-25
784150,2019-03-15
839870,2019-08-29
1043500,2019-03-26
1012560,2019-05-10
657240,2019-11-14
1070580,2019-11-19
1065100,2019-06-17
1034940,2019-07-18
1144110,2019-11-19
865570,2019-06-25
1132190,2019-08-16
589500,2019-12-10
665370,2019-03-01
559330,2019-01-22
1173940,2019-12-14
935880,2019-02-28
774361,2019-09-10
1084020,2019-06-05
1002290,2019-02-18
1068070,2019-05-17
1151080,2019-10-10
1055430,2019-04-19
1039940,2019-09-26
422510,2019-12-13
1043180,2019-04-01
925460,2019-05-29
931690,2019-04-26
1034900,2019-06-14
1161770,2019-10-18
1076880,2019-11-18
1055760,2019-05-09
1170640,2019-11-04
986280,2019-03-30
1010870,2019-03-01
977230,2019-11-04
1148510,2019-12-13
1079450,2019-07-18
1172380,2019-11-15
714120,2019-09-18
1114030,2019-11-02
1002300,2019-01-21
562860,2019-08-15
931270,2019-08-30
742520,2019-05-09
1032520,2019-04-07
690640,2019-10-08
915460,2019-04-12
898580,2019-10-18
