appid,new_date
294100,2018-10-17
960090,2018-12-18
504230,2018-01-25
588650,2018-08-06
264710,2018-01-24
531510,2018-05-31
519860,2018-12-10
683320,2018-12-13
432350,2018-11-30
629730,2018-12-11
617670,2018-11-15
644560,2018-04-19
242760,2018-04-30
653530,2018-10-18
909080,2018-09-20
844930,2018-05-24
871720,2018-06-27
638970,2018-08-01
899970,2018-07-27
233860,2018-12-06
888790,2018-10-26
456750,2018-11-13
508900,2018-05-17
553310,2018-10-24
858940,2018-07-26
760890,2018-01-04
897330,2018-08-17
880950,2018-09-21
730820,2018-03-22
825630,2018-05-08
860950,2018-10-09
714010,2018-02-07
787860,2018-11-19
995460,2018-12-25
788770,2018-02-26
790060,2018-02-14
816340,2018-10-17
342560,2018-08-16
885810,2018-10-31
568220,2018-04-09
613100,2018-05-17
334940,2018-05-29
799070,2018-02-22
590380,2018-02-27
866800,2018-08-14
976940,2018-12-09
609320,2018-05-17
743390,2018-11-13
673950,2018-10-11
686200,2018-09-10
528230,2018-03-16
765410,2018-08-22
604330,2018-11-26
589780,2018-01-22
802870,2018-10-26
855640,2018-09-21
567380,2018-12-25
368340,2018-09-21
453090,2018-11-29
753220,2018-02-19
917680,2018-08-30
530320,2018-09-27
882710,2018-08-17
868520,2018-11-15
336140,2018-08-08
884260,2018-09-10
804700,2018-05-17
858760,2018-05-22
868980,2018-12-18
744190,2018-01-11
764790,2018-08-30
781440,2018-02-20
668350,2018-06-14
945360,2018-11-16
802890,2018-02-28
846470,2018-06-07
758530,2018-01-05
852110,2018-05-21
793350,2018-03-12
658850,2018-10-24
587220,2018-09-21
850000,2018-05-15
773670,2018-01-25
743450,2018-04-27
791470,2018-02-14
927890,2018-12-07
648390,2018-04-13
862570,2018-06-15
838310,2018-05-24
979600,2018-12-03
787070,2018-11-16
291860,2018-03-02
754150,2018-04-27
795100,2018-04-13
809020,2018-09-28
882110,2018-11-14
857450,2018-08-24
410340,2018-09-13
389140,2018-05-15
824270,2018-04-03
747250,2018-11-16
323190,2018-04-24
525510,2018-03-02
650700,2018-01-10
600480,2018-09-13
815780,2018-03-15
971680,2018-11-23
878750,2018-08-17
393190,2018-11-07
599390,2018-05-02
731490,2018-06-29
744810,2018-01-11
820730,2018-04-26
845070,2018-06-25
843260,2018-08-14
334920,2018-04-27
510420,2018-10-16
963710,2018-11-05
801630,2018-08-21
944220,2018-10-26
785890,2018-05-29
859680,2018-09-27
963690,2018-11-06
744800,2018-01-11
748490,2018-02-14
888090,2018-08-13
733340,2018-03-13
716490,2018-10-22
753420,2018-02-15
736190,2018-09-29
616250,2018-08-22
757240,2018-01-28
863550,2018-11-13
233610,2018-09-18
822930,2018-05-04
535930,2018-08-30
904740,2018-08-03
600990,2018-09-20
848350,2018-12-06
648580,2018-09-04
448850,2018-05-31
688420,2018-11-16
473770,2018-12-15
673880,2018-11-15
349250,2018-04-19
827290,2018-04-16
601050,2018-03-15
783120,2018-06-29
822760,2018-05-04
802880,2018-02-28
922460,2018-11-01
355170,2018-11-16
931500,2018-10-26
469820,2018-01-18
876850,2018-08-17
774461,2018-10-17
950460,2018-10-31
866540,2018-06-20
758090,2018-01-26
743130,2018-12-07
882140,2018-11-15
956240,2018-12-03
800620,2018-03-15
841770,2018-10-15
678950,2018-01-26
925440,2018-10-01
570940,2018-05-23
728880,2018-08-07
445980,2018-05-15
417290,2018-03-13
963000,2018-11-22
428080,2018-07-17
701160,2018-12-11
757480,2018-11-29
658550,2018-09-11
882790,2018-08-08
631510,2018-03-13
762610,2018-08-02
620210,2018-03-30
16900,2018-08-14
322450,2018-05-17
922400,2018-11-21
766280,2018-06-15
853550,2018-11-23
285920,2018-08-10
757210,2018-04-24
955560,2018-10-10
760060,2018-12-04
917290,2018-09-06
792100,2018-08-23
746400,2018-02-14
949370,2018-10-17
952420,2018-12-16
628070,2018-01-17
913010,2018-08-17
851530,2018-05-04
943380,2018-10-12
891510,2018-09-07
812140,2018-10-05
702670,2018-08-28
852480,2018-10-29
692130,2018-07-31
959750,2018-11-14
608110,2018-05-03
779990,2018-07-30
396710,2018-04-03
873200,2018-06-16
823580,2018-05-02
896460,2018-08-21
701380,2018-04-24
782340,2018-08-28
564050,2018-04-20
845880,2018-07-11
961660,2018-11-05
332950,2018-09-27
559620,2018-11-16
833040,2018-04-13
771310,2018-03-14
847370,2018-11-16
942850,2018-12-17
810660,2018-05-25
598700,2018-07-13
829110,2018-10-16
510680,2018-04-17
742300,2018-10-02
907000,2018-08-03
416600,2018-01-17
923260,2018-11-13
880940,2018-09-20
431930,2018-05-29
840010,2018-12-18
796790,2018-06-14
591630,2018-02-01
864060,2018-11-16
590950,2018-11-14
851670,2018-06-26
595520,2018-02-01
890750,2018-08-20
315460,2018-07-10
534550,2018-08-21
742250,2018-02-08
836490,2018-05-09
527230,2018-04-19
762930,2018-04-12
466110,2018-07-26
939620,2018-09-24
714800,2018-06-29
950140,2018-10-16
792030,2018-05-31
792050,2018-11-13
893730,2018-07-18
468920,2018-08-30
702810,2018-03-06
706560,2018-08-07
758190,2018-05-11
828580,2018-04-27
800600,2018-03-08
823130,2018-06-05
814540,2018-04-05
821890,2018-08-13
290510,2018-07-17
979260,2018-12-05
937850,2018-12-18
587110,2018-07-25
774091,2018-03-25
603850,2018-11-21
736570,2018-01-16
699180,2018-05-03
867380,2018-06-29
842780,2018-06-20
619500,2018-01-26
978270,2018-12-12
488550,2018-09-21
651500,2018-10-09
675240,2018-09-13
767930,2018-10-02
966630,2018-12-19
904320,2018-08-21
869840,2018-06-07
857690,2018-07-06
466560,2018-03-07
737800,2018-08-23
853770,2018-09-19
704450,2018-03-27
778330,2018-03-23
888040,2018-07-31
716710,2018-01-05
560430,2018-11-16
581360,2018-03-01
718560,2018-09-05
936160,2018-12-04
750170,2018-03-05
542050,2018-05-15
973760,2018-11-09
323220,2018-02-22
758370,2018-03-26
864300,2018-06-07
833140,2018-05-09
252490,2018-02-08
721390,2018-01-19
375440,2018-07-10
756590,2018-03-27
865880,2018-06-06
836450,2018-07-25
925930,2018-09-24
733300,2018-11-09
865270,2018-08-10
936720,2018-12-19
935580,2018-11-02
948100,2018-12-21
834740,2018-08-08
855860,2018-11-30
609490,2018-04-03
685400,2018-05-01
936190,2018-12-04
691160,2018-08-07
734920,2018-02-07
938310,2018-12-26
858050,2018-05-31
705220,2018-02-01
746710,2018-02-20
862690,2018-05-31
510540,2018-03-28
777200,2018-02-14
398030,2018-09-13
871570,2018-07-23
864100,2018-09-18
838390,2018-05-11
828070,2018-07-20
889480,2018-09-07
846880,2018-07-09
630640,2018-12-21
228380,2018-06-14
879510,2018-09-28
965860,2018-12-15
560130,2018-05-08
528060,2018-08-17
761670,2018-01-26
704850,2018-11-09
898450,2018-07-27
932500,2018-11-30
741250,2018-01-30
525620,2018-02-08
760330,2018-02-24
976420,2018-12-11
431280,2018-09-04
821790,2018-04-16
846670,2018-07-31
880400,2018-08-11
974090,2018-11-08
848280,2018-05-11
966680,2018-11-10
906390,2018-08-03
965810,2018-10-22
856540,2018-07-02
677120,2018-03-01
582010,2018-08-09
895220,2018-08-20
809870,2018-09-04
375530,2018-06-01
899190,2018-11-04
612470,2018-03-08
815450,2018-07-10
818760,2018-04-02
698540,2018-07-06
597230,2018-01-15
704470,2018-11-09
899610,2018-08-06
648350,2018-06-12
745560,2018-10-10
771240,2018-02-16
893030,2018-07-20
938810,2018-09-25
717850,2018-05-18
868360,2018-10-30
746920,2018-01-23
952040,2018-12-05
959410,2018-11-03
843440,2018-05-14
871280,2018-07-27
761620,2018-12-05
974950,2018-11-30
465020,2018-09-07
579180,2018-04-16
907470,2018-12-07
822830,2018-05-25
636100,2018-01-26
745890,2018-02-24
950860,2018-10-25
955400,2018-11-01
942200,2018-11-29
625740,2018-07-12
906120,2018-12-21
719660,2018-02-08
758330,2018-08-21
994280,2018-12-14
818320,2018-06-15
818500,2018-08-10
861400,2018-06-28
797570,2018-02-26
803600,2018-10-22
797390,2018-04-02
360620,2018-03-13
810230,2018-03-19
846110,2018-05-17
805820,2018-04-02
467760,2018-03-06
888990,2018-09-22
842910,2018-10-11
765710,2018-10-23
751640,2018-11-12
831570,2018-05-02
771070,2018-01-20
513490,2018-10-04
947300,2018-10-12
613830,2018-02-27
599140,2018-08-15
799510,2018-03-02
843430,2018-05-14
929670,2018-09-21
943410,2018-10-18
790820,2018-09-25
732370,2018-05-03
918820,2018-10-23
906110,2018-12-21
697650,2018-03-13
455820,2018-05-15
927990,2018-11-06
662930,2018-05-14
778610,2018-02-01
444090,2018-05-08
654550,2018-02-13
649890,2018-06-20
704200,2018-02-16
661790,2018-09-03
424030,2018-12-03
872790,2018-11-02
632350,2018-02-27
946610,2018-10-25
823830,2018-05-11
893680,2018-12-06
809250,2018-04-12
