action
roleplaying
grand4x
individualsports
adventurerpg
fightingmartialarts
towerdefense
metroidvania
teamsports
platformerrunner
spaceflight
allsports
roguelike
sandboxphysics
farmingcrafting
visualnovel
strategy
citysettlement
racing
realtimestrategy
military
lifeimmersive
storyrich
simulation
turnbased
turnbasedstrategy
casual
shmup
fishinghunting
strategyrpg
actionrpg
arcaderhythm
sportsracing
cardboard
jrpg
hackslash
racingsim
hobbyjob
thirdpersonshooter
sportssim
puzzle
hiddenobject
firstpersonshooter
adventure
dating
partybased
buildingautomation
