;App_id;24_Hour_Peak;All_time_peak
0;1794680;5934;77061
1;1332010;821;51455
2;1583720;150;3006
3;1290000;2100;10503
4;1593500;2114;73529
5;1533420;210;3238
6;1999360;130;641
7;1687950;8220;35298
8;1942280;10591;30369
9;1684930;49;698
10;1817070;1357;66093
11;1424330;130;586
12;1868140;344;5146
13;1985690;22;1627
14;1677770;110;520
15;1455840;814;7063
16;1167630;2385;8221
17;1059990;114;1064
18;1260520;42;581
19;1901370;24;1822
20;1586800;21;420
21;1948280;479;5135
22;1969080;10;109
23;1061910;57;2682
24;2070550;8;192
25;658920;55;1375
26;1284190;1342;14237
27;1665190;78;1329
28;1718570;852;6984
29;799640;21;851
30;1927720;22;311
31;1328840;54;321
32;1293180;31;869
33;1275670;47;453
34;674140;74;942
35;2237980;49;887
36;1574270;15;235
37;1829980;133;1354
38;1350650;187;3338
39;1262350;262;862
40;1171320;4;78
41;2206340;11;192
42;1776970;43;676
43;2088570;234;1676
44;1599600;2014;12406
45;1740100;35;382
46;2135690;9;174
47;1865780;496;3086
48;1115050;7;438
49;1239690;38;638
50;1827680;Invalid;Invalid
51;1732180;52;1086
52;1451940;367;3627
53;1599020;13;262
54;1935660;8;87
55;1035990;7;132
56;1657630;515;20472
57;1359980;26;735
58;975370;1430;28288
59;1269640;18;175
60;1336490;2016;8425
61;1902490;37;1471
62;648800;9354;100474
63;1955330;5;147
64;1062520;1762;13394
65;1148760;129;682
66;2083040;15;459
67;2106520;56;1311
68;615120;13;156
69;1313140;3180;56262
70;1535560;2712;8867
71;1848450;13;228
72;799600;679;13757
73;1522870;31;1964
74;2113430;28;4725
75;1997680;29;573
76;1717770;Invalid;Invalid
77;1574580;133;1343
78;1215390;274;1034
79;2240530;6;112
80;1986840;7;255
81;2058180;533;5604
82;1488200;1108;4368
83;2207540;7;183
84;949480;11;220
85;1562700;22;413
86;2085360;4;76
87;1903370;0;37
88;2124380;10;117
89;1718870;187;469
90;1888430;Invalid;Invalid
91;1939160;83;3074
92;1515210;166;11533
93;2057080;3;27
94;1817940;9;522
95;1629530;11;158
96;1834870;7;140
97;1706930;7;47
98;1703340;174;6477
99;1401590;2119;14314
100;1725640;12;35
101;1063660;115;5686
102;1179080;47;611
103;1205520;137;1250
104;1817000;5;35
105;1768640;60;504
106;659540;17;256
107;1733060;Invalid;Invalid
108;1730680;14;730
109;1147550;40;848
110;2058190;550;2230
111;1155970;124;599
112;1888010;Invalid;Invalid
113;1361510;63;8700
114;1135230;168;1038
115;1745510;69;530
116;1777430;18;409
117;1822910;7;187
118;1942120;31;227
119;1817190;573;12641
120;1786790;174;1583
121;1668510;122;794
122;1237320;300;19104
123;1487270;13;421
124;2088270;1;25
125;1865060;165;339
126;1588530;213;1150
127;1701800;6;100
128;1245620;28691;952523
129;1328350;16;307
130;1585220;84;322
131;1737100;393;1697
132;1865440;Invalid;Invalid
133;1379870;21;266
134;1850480;Invalid;Invalid
135;964800;99;716
136;1954750;Invalid;Invalid
137;1896700;219;629
138;1949960;Invalid;Invalid
139;1684410;Invalid;Invalid
140;1871310;Invalid;Invalid
141;1712830;76;843
142;2171440;310;403
143;1694420;447;2123
144;1296770;23;244
145;1296540;Invalid;Invalid
146;1854430;3;78
147;1287040;5;87
148;1850570;1177;6003
149;2088250;112;1137
150;595500;20;687
151;1296830;1200;44545
152;1910580;35;47
153;1109570;11;2682
154;2066550;33;477
155;1874170;66;677
156;1853200;6;66
157;1578650;58;554
158;1902710;49;1148
159;1881340;Invalid;Invalid
160;1740930;17;46
161;2119940;1;135
162;2113540;5;291
163;1975120;1;24
164;1923790;Invalid;Invalid
165;1970460;53;408
166;2226870;1;21
167;1998530;2;69
168;1545990;3;41
169;1966900;272;12680
170;1977530;829;2406
171;1878740;2;22
172;1967510;18;365
173;898890;11;93
174;1182110;229;2548
175;2056560;14;502
176;1980530;101;1320
177;1984350;4;33
178;2112520;Invalid;Invalid
179;1785820;23;452
180;1604380;33;176
181;1743850;16;346
182;1962920;Invalid;Invalid
183;1621310;130;3604
184;1883260;48;1149
185;1895300;109;205
186;1425760;Invalid;Invalid
187;1679210;Invalid;Invalid
188;1834920;18;55
189;1846170;13;162
190;553420;296;2501
191;1919460;31;660
192;2085800;Invalid;Invalid
193;1723260;85;607
194;1932570;Invalid;Invalid
195;1755100;4;61
196;1051690;74;1134
197;1210320;439;10085
198;1988540;44;114
199;2059670;8;58
200;920210;1469;82446
201;1608290;113;1140
202;552080;Invalid;Invalid
203;1972710;Invalid;Invalid
204;980610;213;833
205;2067920;247;5150
206;1615290;48;2348
207;1532710;1;51
208;1985260;14;316
209;1761390;340;2577
210;1150760;15;676
211;1249480;4;48
212;1944250;7;173
213;1954200;131;2618
214;2060130;147;10536
215;1511780;69;758
216;1428100;23;335
217;1791610;Invalid;Invalid
218;1944240;3;20
219;1594320;898;6125
220;1684660;19;290
221;1972440;74;756
222;1070790;Invalid;Invalid
223;1309000;23;663
224;950620;Invalid;Invalid
225;1621690;7695;34377
226;1975360;Invalid;Invalid
227;2062930;Invalid;Invalid
228;1457220;24;132
229;1927740;13;97
230;1572920;18;77
231;2165610;10;101
232;1689910;18;1276
233;1921900;Invalid;Invalid
234;1720850;8;280
235;1769170;42;339
236;2091250;59;478
237;1338580;11;99
238;1600900;1;12
239;1986880;0;23
240;1135810;135;963
241;1808400;2;78
242;1182900;302;4903
243;1850550;43;217
244;1766740;68;4033
245;1592670;12;1608
246;1570010;35;706
247;1732750;Invalid;Invalid
248;2173570;0;32
249;1477070;41;2685
250;1722520;Invalid;Invalid
251;1916970;13;115
252;1460220;12;132
253;1709170;1;24
254;2084930;Invalid;Invalid
255;1908670;Invalid;Invalid
256;1900340;15;642
257;1076130;Invalid;Invalid
258;1792250;51;1505
259;2125770;Invalid;Invalid
260;2081460;Invalid;Invalid
261;1885750;2;44
262;1568540;53;553
263;1983000;Invalid;Invalid
264;1859470;7;315
265;2005660;Invalid;Invalid
266;1697700;5;85
267;1726400;10;2882
268;1573630;6;257
269;1594940;44;4346
270;1341290;327;8369
271;1975180;Invalid;Invalid
272;1669420;2;132
273;896520;12;181
274;2124780;11;346
275;1399240;0;79
