;App_id;24_Hour_Peak;All_time_peak
0;1118200;7300;14868
1;646570;10562;32937
2;1055540;28;217
3;460950;189;1520
4;883710;2199;74024
5;1170880;15;207
6;736260;201;1493
7;787480;743;3544
8;457140;9615;27380
9;1070710;15;360
10;1093910;24;231
11;851100;25;1339
12;1067310;6;200
13;942970;229;7624
14;620980;768;42095
15;1044620;71;447
16;814380;6762;124334
17;601150;2183;88735
18;601220;10;751
19;1067850;72;1051
20;512900;348;4265
21;926990;253;2229
22;1122720;14;176
23;1082710;56;316
24;557340;55;6320
25;732690;34;844
26;812810;5;175
27;1122750;18;500
28;813780;22187;38725
29;1127400;583;3006
30;943700;62;1528
31;1160490;14;749
32;992310;4;91
33;1069230;22;160
34;1147690;3786;8012
35;858210;203;1274
36;844590;17;297
37;774171;Invalid;Invalid
38;1038740;4;393
39;944020;6;61
40;1031480;7;619
41;1064610;13;184
42;980300;16;1002
43;1103210;11;438
44;1045520;39;257
45;611760;9;145
46;986800;44;146
47;692850;323;26811
48;927380;304;3217
49;1198320;Invalid;Invalid
50;314650;164;596
51;1033420;14;57
52;1046030;83;1761
53;572890;274;2084
54;813630;73;1397
55;598980;25;217
56;914710;44;593
57;1058020;72;528
58;621000;4;317
59;1010750;34;558
60;1018850;5;100
61;621060;302;3883
62;937580;15;44
63;996580;293;3561
64;977950;2242;9247
65;966320;9;210
66;1058640;8;235
67;1049280;8;120
68;801480;17;318
69;913550;90;503
70;752590;185;4030
71;632470;1298;8081
72;900270;18;1303
73;597760;39;332
74;1007040;989;8362
75;673130;33;335
76;681280;457;1942
77;1079160;9;383
78;1072390;13;255
79;965820;14;261
80;1169040;1229;3852
81;494150;24;482
82;1043340;15;92
83;866440;6;175
84;976730;4326;93305
85;970560;14;54
86;1002560;6;86
87;440310;37;99
88;937170;30;2787
89;1200860;1;50
90;1071120;Invalid;Invalid
91;992740;Invalid;Invalid
92;359510;36;335
93;655500;2129;2661
94;933480;139;5887
95;934840;3;316
96;578620;19;5261
97;1109460;1;36
98;1012880;154;1215
99;1005300;105;6387
100;916730;7;905
101;1057680;3;226
102;1004240;4;497
103;834530;288;3406
104;1012240;Invalid;Invalid
105;1184770;102;302
106;1010890;2;102
107;1064730;2;193
108;1092590;0;50
109;1109410;2;36
110;1146950;6;265
111;1098340;4;377
112;666140;847;13265
113;1048540;21;795
114;948830;Invalid;Invalid
115;930910;15;435
116;1040550;1;59
117;361420;2567;17891
118;1092720;38;102
119;939600;5;377
120;447150;13;133
121;1046820;32;149
122;1070550;5;9
123;741140;29;185
124;1044490;Invalid;Invalid
125;604240;54;450
126;1047440;19;874
127;823500;87;3820
128;1080750;Invalid;Invalid
129;1026840;2;42
130;1158470;32;75
131;382560;24;1030
132;677620;537;67724
133;433550;6;147
134;588030;221;1128
135;1073390;19;96
136;1037190;Invalid;Invalid
137;710710;Invalid;Invalid
138;1109130;2;23
139;1043240;6;18
140;844660;Invalid;Invalid
141;1047220;5;25
142;1056490;3;78
143;981020;2;36
144;1146510;Invalid;Invalid
145;594130;8;58
146;585420;1258;4111
147;805550;4976;9083
148;954740;66;1392
149;959080;3;100
150;952290;8;52
151;622220;21;3078
152;679900;49;2089
153;1069740;94;1392
154;1058000;Invalid;Invalid
155;1084570;Invalid;Invalid
156;909190;1;9
157;489520;1281;10160
158;1021950;5;675
159;1121910;15;4263
160;1098490;1;71
161;1079800;28;194
162;1036950;195;230
163;572220;13;220
164;1017180;863;3151
165;505230;70;1418
166;1174180;28327;70787
167;951830;30;64
168;846030;36;349
169;976390;14;64
170;968350;Invalid;Invalid
171;1100800;Invalid;Invalid
172;910630;Invalid;Invalid
173;970570;52;136
174;702050;12;409
175;1073440;203;379
176;1094530;3;94
177;951000;Invalid;Invalid
178;703080;4391;38457
179;971210;Invalid;Invalid
180;1101180;Invalid;Invalid
181;1026820;32;586
182;1005930;25;646
183;983150;0;64
184;1182370;8;79
185;761600;8;517
186;923910;Invalid;Invalid
187;948740;50;983
188;1187510;41;122
189;1172980;Invalid;Invalid
190;939330;56;227
191;631570;5;110
192;1147750;Invalid;Invalid
193;1104660;10;475
194;1106770;Invalid;Invalid
195;619150;14;819
196;1072420;406;3348
197;751780;1249;13403
198;889510;21;198
199;969700;1;32
200;1042550;274;2220
201;976010;9;82
202;784150;1602;3885
203;839870;Invalid;Invalid
204;1012560;6;499
205;1043500;0;12
206;1070580;64;563
207;657240;13;99
208;1144110;Invalid;Invalid
209;1065100;4;50
210;1034940;14;48
211;665370;23;98
212;865570;8;199
