;App_id;24_Hour_Peak;All_time_peak
3290;599180;Invalid;Invalid
3291;611390;Invalid;Invalid
3292;640250;Invalid;Invalid
3293;657550;Invalid;Invalid
3294;672280;Invalid;Invalid
3295;705780;Invalid;Invalid
3296;745520;Invalid;Invalid
3297;752430;Invalid;Invalid
3298;754230;0;5
3299;755130;Invalid;Invalid
3300;779140;Invalid;Invalid
3301;793640;Invalid;Invalid
3302;798670;0;2
3303;802310;Invalid;Invalid
3304;805010;Invalid;Invalid
3305;816150;0;2
3306;827590;Invalid;Invalid
3307;828270;Invalid;Invalid
3308;836300;Invalid;Invalid
3309;837950;Invalid;Invalid
3310;839090;Invalid;Invalid
3311;841870;Invalid;Invalid
3312;845700;0;1
3313;848270;Invalid;Invalid
3314;867790;Invalid;Invalid
3315;875510;Invalid;Invalid
3316;875520;Invalid;Invalid
3317;877310;Invalid;Invalid
3318;877480;Invalid;Invalid
3319;886350;Invalid;Invalid
3320;886600;Invalid;Invalid
3321;887440;Invalid;Invalid
3322;887930;Invalid;Invalid
3323;888380;Invalid;Invalid
3324;905880;Invalid;Invalid
3325;909010;Invalid;Invalid
3326;910500;0;2
3327;913500;Invalid;Invalid
3328;915380;Invalid;Invalid
3329;916910;Invalid;Invalid
3330;916970;Invalid;Invalid
3331;918690;Invalid;Invalid
3332;923630;Invalid;Invalid
3333;929180;Invalid;Invalid
3334;940700;Invalid;Invalid
3335;949150;Invalid;Invalid
3336;956200;Invalid;Invalid
3337;956380;0;3
3338;966020;Invalid;Invalid
3339;975860;Invalid;Invalid
3340;990750;Invalid;Invalid
3341;523650;10;399
3342;596200;Invalid;Invalid
3343;803260;Invalid;Invalid
3344;866510;37;2497
3345;671690;Invalid;Invalid
3346;340500;Invalid;Invalid
3347;407050;Invalid;Invalid
3348;695450;Invalid;Invalid
3349;739010;Invalid;Invalid
3350;749980;Invalid;Invalid
3351;775720;Invalid;Invalid
3352;832380;Invalid;Invalid
3353;919160;Invalid;Invalid
3354;921520;0;4
3355;336940;Invalid;Invalid
3356;610660;Invalid;Invalid
3357;552920;26;154
3358;851820;Invalid;Invalid
3359;603020;Invalid;Invalid
3360;528460;11;137
3361;595770;6;159
3362;857010;1;7
3363;783440;Invalid;Invalid
3364;708100;Invalid;Invalid
3365;828660;5;41
3366;958280;0;6
3367;703880;Invalid;Invalid
3368;837200;0;6
3369;963300;0;11
3370;830980;1;49
3371;775800;0;8
3372;556740;2;412
