appid,new_date
1145360,2020-09-17
546560,2020-03-23
1089980,2020-08-07
1229490,2020-09-03
1289310,2020-05-11
1144400,2020-02-14
1150690,2020-12-25
1281930,2020-05-16
1230140,2020-06-18
548430,2020-05-13
739630,2020-09-18
1129190,2020-11-16
526870,2020-06-08
1240210,2020-08-06
1113000,2020-06-13
427520,2020-08-14
667970,2020-08-03
1057090,2020-03-11
632360,2020-08-11
1241510,2020-02-24
1392820,2020-08-26
1277930,2020-12-18
1369320,2020-10-07
1292940,2020-10-14
1428310,2020-10-12
1282200,2020-04-27
1406990,2020-11-26
1171370,2020-01-28
1211020,2020-07-08
1434480,2020-10-30
1285670,2020-08-06
1281800,2020-04-29
1202540,2020-02-28
897220,2020-02-06
1369340,2020-10-12
1337010,2020-12-11
610370,2020-06-16
362890,2020-03-06
1178030,2020-01-17
1126320,2020-02-14
1140270,2020-10-23
1377360,2020-10-03
1172450,2020-10-27
1102190,2020-05-21
1318690,2020-06-07
1241700,2020-03-18
1161870,2020-03-17
346010,2020-02-18
972660,2020-08-18
753640,2020-06-18
881100,2020-10-15
1349230,2020-07-22
1237970,2020-06-18
1239080,2020-11-03
1235140,2020-11-10
1104380,2020-03-26
1449690,2020-10-29
466630,2020-01-29
1419860,2020-11-19
1218900,2020-12-21
1168470,2020-01-03
837470,2020-09-23
1232180,2020-02-10
1211630,2020-10-15
1079260,2020-12-17
1349060,2020-07-22
1216200,2020-01-10
805590,2020-07-31
1222140,2020-06-18
1368860,2020-08-20
1468260,2020-12-04
1340130,2020-11-06
1201280,2020-01-22
638230,2020-06-11
1049410,2020-11-05
1286710,2020-06-22
914800,2020-01-29
473950,2020-10-20
1162750,2020-09-21
1249880,2020-03-19
1062160,2020-05-28
1175140,2020-10-14
1100140,2020-06-06
1293820,2020-05-25
953490,2020-07-23
1217390,2020-01-15
1275890,2020-06-12
969990,2020-06-23
375480,2020-08-21
1238730,2020-07-31
1367550,2020-10-15
1293860,2020-08-05
1049100,2020-01-03
1216080,2020-01-14
895870,2020-12-01
1297160,2020-05-15
1444350,2020-10-30
848480,2020-12-03
1460090,2020-12-01
1080110,2020-07-09
1071130,2020-04-09
1345740,2020-10-31
1210250,2020-05-13
470310,2020-04-23
1156990,2020-03-03
1271710,2020-04-30
1045720,2020-01-28
1064460,2020-10-23
1164050,2020-09-22
1283130,2020-04-21
326460,2020-05-22
926340,2020-02-20
1114940,2020-02-13
1246020,2020-03-19
851850,2020-01-16
913740,2020-02-20
955740,2020-04-24
1263850,2020-11-24
1151440,2020-01-23
1363430,2020-09-25
1299120,2020-06-05
1111370,2020-04-23
1200720,2020-04-03
1139890,2020-01-01
1435310,2020-10-24
946050,2020-07-09
1054490,2020-09-17
692890,2020-08-20
1004770,2020-02-25
852090,2020-10-23
1295510,2020-12-04
965680,2020-08-13
1451740,2020-11-25
1129920,2020-05-15
1299370,2020-11-04
1430420,2020-10-19
1102130,2020-02-13
875610,2020-04-20
412220,2020-08-17
418530,2020-09-29
1012790,2020-07-20
1016920,2020-09-23
874390,2020-08-04
1227890,2020-06-15
1169200,2020-03-05
1148590,2020-03-20
978780,2020-07-15
1406040,2020-09-25
960690,2020-03-26
1181400,2020-02-14
1094820,2020-06-18
1084640,2020-11-05
894940,2020-08-04
1158310,2020-09-01
1130410,2020-09-24
1166990,2020-11-06
725480,2020-09-17
956030,2020-07-22
1275640,2020-04-17
1162070,2020-02-03
1304550,2020-09-08
1145960,2020-01-09
1335560,2020-11-19
1224290,2020-03-09
1264520,2020-07-24
858260,2020-10-27
1146970,2020-09-22
1416130,2020-11-06
1258310,2020-04-24
1194840,2020-08-02
1238680,2020-03-19
573090,2020-09-17
823910,2020-06-24
591460,2020-08-13
773790,2020-03-19
1385730,2020-08-27
1176050,2020-10-17
1275350,2020-07-08
1301620,2020-09-09
803330,2020-07-28
985890,2020-04-30
1274140,2020-05-07
1194740,2020-04-02
1179210,2020-08-13
1475380,2020-12-11
1289640,2020-05-18
1139900,2020-10-27
1348700,2020-12-10
1146370,2020-02-25
1347780,2020-09-21
1290220,2020-05-25
1437830,2020-11-13
1344740,2020-09-30
1389630,2020-09-01
1379630,2020-10-15
638490,2020-03-31
1397920,2020-10-01
1052990,2020-09-10
1348180,2020-07-25
1283190,2020-10-08
1178050,2020-01-28
1223810,2020-03-16
550320,2020-09-23
904750,2020-11-06
1252320,2020-04-16
865540,2020-05-01
782330,2020-03-20
1160220,2020-09-04
785790,2020-10-22
1150950,2020-05-21
1207650,2020-12-04
1234810,2020-03-26
1416240,2020-11-19
955050,2020-03-25
876650,2020-04-17
1089090,2020-03-26
1116580,2020-12-10
1225780,2020-07-10
1162650,2020-03-25
1347030,2020-12-04
1260820,2020-04-24
1382200,2020-09-30
1288170,2020-05-25
1330890,2020-10-15
656350,2020-08-06
814370,2020-12-08
994910,2020-09-24
1356670,2020-11-10
1100150,2020-06-06
524910,2020-03-12
1210030,2020-04-26
1375540,2020-09-11
1450830,2020-11-19
1172620,2020-06-03
1212620,2020-02-21
1351170,2020-08-03
1281790,2020-08-26
1414020,2020-11-30
1078200,2020-08-27
883590,2020-03-03
1278360,2020-06-19
924980,2020-04-24
1332470,2020-08-27
893850,2020-03-05
1361700,2020-07-09
1311660,2020-07-05
1233950,2020-05-07
1284240,2020-05-05
1211110,2020-10-12
1086410,2020-12-04
1240630,2020-08-31
1186640,2020-10-23
1306750,2020-08-21
1183500,2020-02-11
1163740,2020-06-23
1302990,2020-06-03
1232130,2020-03-02
1404360,2020-09-18
1096180,2020-05-08
757320,2020-09-17
1241520,2020-03-09
290690,2020-05-08
1257410,2020-05-01
1437340,2020-11-17
1318790,2020-12-02
1291790,2020-10-30
1293230,2020-05-29
1420540,2020-11-18
1286350,2020-09-15
913060,2020-05-12
1174400,2020-02-25
1296840,2020-06-05
1226530,2020-07-17
1252780,2020-04-10
1380390,2020-08-21
1397030,2020-09-07
1334700,2020-07-04
1213210,2020-06-05
1478070,2020-12-14
1232570,2020-07-24
1357870,2020-09-01
792710,2020-04-30
1139980,2020-07-28
1397980,2020-12-11
817840,2020-02-25
865040,2020-03-16
949600,2020-04-21
1273250,2020-09-24
1286330,2020-11-06
1189850,2020-02-27
1286830,2020-07-21
1216490,2020-04-27
1178490,2020-01-06
1100160,2020-06-06
1478410,2020-12-24
1000030,2020-10-14
1150460,2020-05-26
1375530,2020-08-21
1196630,2020-08-28
1373920,2020-08-05
1177420,2020-06-19
589290,2020-03-05
1202900,2020-03-26
1060600,2020-02-21
1338250,2020-06-18
574980,2020-04-30
1234520,2020-03-09
1443430,2020-10-22
1314460,2020-08-03
1405440,2020-10-15
1299320,2020-09-19
1229580,2020-10-22
1015940,2020-09-17
1465860,2020-11-28
991270,2020-03-23
1411670,2020-10-09
1292690,2020-08-14
810040,2020-09-08
1192640,2020-01-27
1235110,2020-08-12
938560,2020-08-21
983970,2020-12-03
1236990,2020-02-10
445220,2020-03-09
1212400,2020-03-17
998740,2020-10-15
1302800,2020-07-07
1069760,2020-08-22
1100990,2020-05-13
1178780,2020-07-31
1318090,2020-07-21
1213740,2020-04-30
1347430,2020-07-22
1154810,2020-09-24
1094420,2020-08-19
1189440,2020-02-08
1281270,2020-06-20
541930,2020-10-08
412020,2020-02-15
1338640,2020-06-30
1437010,2020-10-29
1180540,2020-03-03
1259430,2020-08-19
431240,2020-05-19
1234400,2020-05-12
1146630,2020-02-06
1149550,2020-01-23
1078280,2020-05-29
928950,2020-02-10
1223500,2020-05-19
1363490,2020-08-27
1066890,2020-06-30
1055210,2020-05-28
1129310,2020-04-14
926140,2020-05-01
1258340,2020-05-14
1383770,2020-09-16
1366290,2020-07-17
1178140,2020-04-23
1350350,2020-10-30
1307890,2020-11-03
881040,2020-01-14
1262190,2020-03-20
1245640,2020-10-08
1225560,2020-06-04
1198040,2020-02-04
1412170,2020-09-25
1473050,2020-12-02
1222040,2020-02-10
994140,2020-01-15
1437820,2020-11-13
965580,2020-09-24
1067540,2020-07-23
268650,2020-11-06
1087280,2020-03-20
1181790,2020-10-17
1438440,2020-11-20
1162960,2020-10-30
1038300,2020-08-21
1166860,2020-06-24
1152300,2020-01-14
965590,2020-03-31
1287800,2020-05-31
1444090,2020-10-24
1178220,2020-11-17
1393820,2020-10-16
1395560,2020-09-01
690420,2020-06-06
1182830,2020-01-23
1268860,2020-04-24
1191840,2020-06-19
1214360,2020-06-18
1270990,2020-03-31
1021770,2020-03-26
465100,2020-02-13
866140,2020-12-03
1173690,2020-03-19
1213750,2020-07-29
1341450,2020-12-24
1096060,2020-08-13
1291500,2020-04-28
1285160,2020-05-26
1217830,2020-11-30
1114130,2020-07-15
1120690,2020-01-13
1358250,2020-08-07
961010,2020-06-09
1248990,2020-03-06
1264710,2020-03-27
1323000,2020-06-25
1251460,2020-12-04
1127850,2020-02-05
1440440,2020-12-02
1215090,2020-01-04
1249130,2020-04-17
1207780,2020-05-01
988910,2020-05-13
1328890,2020-10-23
1004330,2020-08-27
1215270,2020-03-26
1236720,2020-07-29
1418570,2020-09-28
1499300,2020-12-28
1462650,2020-11-28
1378290,2020-08-05
1224160,2020-03-02
1150720,2020-03-23
1449280,2020-11-17
523660,2020-04-27
1327820,2020-07-29
1250560,2020-03-02
1271050,2020-04-03
960990,2020-06-18
1393350,2020-11-20
1198510,2020-03-27
1436680,2020-11-06
1301220,2020-05-29
559650,2020-10-22
1031510,2020-01-09
1356480,2020-07-06
1444110,2020-12-02
1121420,2020-02-28
1243670,2020-05-14
1500820,2020-12-30
1327020,2020-06-13
1345470,2020-07-31
907670,2020-01-16
1283220,2020-07-11
1347420,2020-08-13
746850,2020-04-23
1267950,2020-03-30
1383720,2020-09-01
1444650,2020-11-23
1236070,2020-02-14
1086940,2020-10-06
1243960,2020-10-22
1222700,2020-06-18
1264740,2020-05-05
1264970,2020-12-07
1264350,2020-04-11
1333350,2020-08-14
1239050,2020-11-10
1036370,2020-06-19
1142480,2020-02-28
1424630,2020-10-02
830820,2020-07-24
1188720,2020-01-10
1249010,2020-03-16
1183260,2020-02-20
1133590,2020-02-26
870780,2020-08-27
1357830,2020-10-07
1065180,2020-06-22
955900,2020-11-25
1417010,2020-09-22
1174390,2020-04-07
1299400,2020-10-31
705340,2020-01-28
1042490,2020-12-08
1348160,2020-07-07
1151640,2020-08-07
1427890,2020-12-15
1379020,2020-08-24
1299900,2020-05-16
1073320,2020-07-23
1252410,2020-06-17
811890,2020-02-14
917840,2020-05-05
1469250,2020-12-01
1170760,2020-06-11
746560,2020-08-27
1486840,2020-12-15
939790,2020-04-30
1268140,2020-04-22
788100,2020-07-14
566490,2020-06-25
1222670,2020-06-18
1189060,2020-11-25
1108370,2020-12-22
1237950,2020-06-11
1167450,2020-02-13
1452850,2020-11-21
1442300,2020-11-11
1422380,2020-10-31
465200,2020-05-08
1041920,2020-05-19
1171270,2020-02-13
407130,2020-02-20
916840,2020-01-23
1201240,2020-08-18
854940,2020-10-08
1266980,2020-04-11
1365940,2020-08-27
1325880,2020-06-25
1048740,2020-03-12
