;24_Hour_Peak;All_time_peak;average_forever;average_2weeks;median_forever;median_2weeks;price;initialprice;num_lang;required_age;controller_support;dlc;metacritic_tf;platforms_num;achievements;days_after_release;months_after_release
360v Positive;;;;;;;;;;;;;;;;;
photoediting Positive;0.0;109.0;49.0;0.0;73.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1900.0;63.0
photoediting Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
racing Positive;0.0;0.0;0.0;0.0;0.0;0.0;4.99;7.99;2.0;0.0;0.0;0.0;0.0;1.0;10.0;907.0;30.0
racing Negative;0.0;0.0;0.0;0.0;0.0;0.0;3.99;3.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;940.5;31.0
rpg Positive;0.0;10.0;0.0;0.0;0.0;0.0;7.99;8.99;3.0;0.0;0.0;0.0;0.0;1.0;15.0;924.0;30.0
rpg Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;2.0;0.0;0.0;0.0;0.0;1.0;0.0;935.0;31.0
sexualcontent Positive;0.0;11.0;0.0;0.0;0.0;0.0;4.99;4.99;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1765.0;58.0
sexualcontent Negative;0.0;0.0;0.0;0.0;0.0;0.0;2.99;2.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1809.0;60.0
short Positive;;;;;;;;;;;;;;;;;
short Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
simulation Positive;0.0;7.0;0.0;0.0;0.0;0.0;7.99;9.99;3.0;0.0;0.0;0.0;0.0;1.0;10.0;899.0;29.0
simulation Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;967.0;32.0
softwaretraining Positive;119.0;740.0;62.5;0.0;72.5;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;1.5;0.0;1870.5;62.0
softwaretraining Negative;0.0;0.0;0.0;0.0;0.0;0.0;9.99;9.99;4.5;0.0;0.0;0.0;0.0;1.0;0.0;1152.5;38.0
sports Positive;0.0;3.0;0.0;0.0;0.0;0.0;4.99;8.99;2.0;0.0;0.0;0.0;0.0;1.0;9.0;944.0;31.0
sports Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.54;4.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1044.0;34.0
strategy Positive;0.0;8.0;0.0;0.0;0.0;0.0;6.99;7.99;4.0;0.0;0.0;0.0;0.0;1.0;14.0;924.0;30.0
strategy Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;968.0;32.0
tutorial Positive;;;;;;;;;;;;;;;;;
tutorial Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
utilities Positive;5.0;83.0;49.0;0.0;72.0;0.0;3.99;3.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1516.0;50.0
utilities Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;5.0;0.0;0.0;0.0;0.0;1.0;0.0;1624.0;54.0
videoproduction Positive;0.0;54.5;24.5;0.0;36.5;0.0;0.495;0.495;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1857.5;61.5
videoproduction Negative;0.0;0.0;0.0;0.0;0.0;0.0;8.49;8.49;20.5;0.0;0.0;0.0;0.0;1.0;0.0;905.5;29.5
violent Positive;0.0;5.0;0.0;0.0;0.0;0.0;4.99;4.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1851.0;61.0
violent Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;5.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1856.0;61.0
webpublishing Positive;0.0;109.0;49.0;0.0;72.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;1.0;0.0;1841.0;61.0
webpublishing Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
