;appid;required_age;is_free;controller_support;dlc;metacritic;windows;mac;linux;platforms_num;recommendations;achievements;release_date;release_date_final
0;294100;0.0;0.0;;6.0;87.0;1.0;1.0;1.0;3.0;134967.0;;2018-Oct-17;2018-10-17
1;960090;0.0;0.0;;1.0;;1.0;1.0;0.0;2.0;222889.0;146.0;2018-Dec-17;2018-12-17
2;504230;0.0;0.0;full;1.0;88.0;1.0;1.0;1.0;3.0;66397.0;32.0;2018-Jan-25;2018-01-25
3;588650;0.0;0.0;full;7.0;89.0;1.0;1.0;1.0;3.0;113184.0;121.0;2018-ug-6A;
4;264710;0.0;0.0;full;1.0;87.0;1.0;1.0;0.0;2.0;208334.0;17.0;2018-Jan-23;2018-01-23
5;519860;0.0;0.0;full;2.0;88.0;1.0;1.0;1.0;3.0;16289.0;30.0;2018-Dec-10;2018-12-10
6;531510;0.0;0.0;full;1.0;;1.0;1.0;1.0;3.0;15512.0;26.0;2018-May-31;2018-05-31
7;683320;0.0;0.0;full;1.0;84.0;1.0;1.0;0.0;2.0;54799.0;17.0;2018-Dec-13;2018-12-13
8;432350;0.0;0.0;;1.0;;1.0;0.0;0.0;1.0;4275.0;133.0;2018-Nov-30;2018-11-30
9;629730;0.0;0.0;;;;1.0;0.0;0.0;1.0;39518.0;;2018-Dec-11;2018-12-11
10;617670;0.0;0.0;;;;1.0;0.0;0.0;1.0;11204.0;800.0;2018-Nov-15;2018-11-15
11;644560;;;;;;;;;;;;;
12;242760;18;False;;;83.0;1.0;0.0;0.0;1.0;406817.0;45.0;2018-Apr-30;2018-04-30
13;653530;0;False;full;1.0;89.0;1.0;1.0;0.0;2.0;18928.0;16.0;2018-Oct20-18;
14;909080;0;True;;1.0;;1.0;1.0;0.0;2.0;901.0;28.0;2018-Sep18-20;
15;844930;0;False;;2.0;;1.0;1.0;0.0;2.0;4260.0;8.0;2018-May-23;2018-05-23
16;871720;0;True;;;;1.0;0.0;0.0;1.0;;;2018-Jun-27;2018-06-27
17;638970;17;False;full;;86.0;1.0;0.0;0.0;1.0;47155.0;55.0;2018-ug-1A;
18;899970;0;False;;3.0;;1.0;0.0;0.0;1.0;3048.0;13.0;2018-Jul-26;2018-07-26
19;888790;0;False;;1.0;;1.0;0.0;0.0;1.0;1952.0;20.0;2018-Oct-26;2018-10-26
20;233860;0;False;;1.0;75.0;1.0;0.0;0.0;1.0;58218.0;0.0;2018-ec-6D;
21;456750;0;False;;;;1.0;0.0;0.0;1.0;9112.0;10.0;2018-Nov-13;2018-11-13
22;508900;0;False;;;;1.0;0.0;0.0;1.0;5849.0;2880.0;2018-May-17;2018-05-17
23;553310;0;False;full;13.0;;1.0;1.0;1.0;3.0;4068.0;15.0;2018-Oct-24;2018-10-24
24;858940;0;False;;;;1.0;0.0;0.0;1.0;940.0;;2018-Jul-26;2018-07-26
25;760890;0;False;;1.0;;1.0;0.0;0.0;1.0;1319.0;14.0;2018-an-4J;
26;897330;0;True;;57.0;;1.0;1.0;1.0;3.0;;1379.0;2018-Aug-17;2018-08-17
27;880950;0;False;;2.0;;1.0;0.0;0.0;1.0;2778.0;9.0;2018-Sep-21;2018-09-21
28;825630;0;False;;;;1.0;0.0;0.0;1.0;4484.0;28.0;2018-ay-8M;
29;860950;0;False;full;;;1.0;1.0;1.0;3.0;4587.0;38.0;2018-ct-9O;
30;730820;0;False;;;89.0;1.0;1.0;0.0;2.0;2003.0;;2018-Mar-22;2018-03-22
31;714010;0;True;full;10.0;;1.0;0.0;0.0;1.0;176.0;100.0;2018-eb-7F;
32;787860;0;False;full;10.0;73.0;1.0;1.0;0.0;2.0;57262.0;23.0;2018-Nov-19;2018-11-19
33;995460;0;False;;2.0;;1.0;0.0;0.0;1.0;2086.0;;2018-Dec-25;2018-12-25
34;788770;12;True;;;;1.0;1.0;0.0;2.0;;;2018-Feb-26;2018-02-26
35;790060;0;False;full;1.0;;1.0;0.0;0.0;1.0;340.0;637.0;2018-Feb-14;2018-02-14
36;816340;0;False;;;;1.0;1.0;1.0;3.0;4982.0;83.0;2018-Oct-17;2018-10-17
37;568220;0;False;;1.0;;1.0;0.0;0.0;1.0;23228.0;;2018-pr-9A;
38;342560;10;False;;2.0;;1.0;1.0;1.0;3.0;4547.0;32.0;2018-ago-16;
39;885810;0;False;full;;;1.0;1.0;0.0;2.0;2230.0;;2018-Oct-30;2018-10-30
40;799070;0;False;;;;1.0;0.0;0.0;1.0;3630.0;2220.0;2018-Feb-22;2018-02-22
41;613100;0;False;full;7.0;67.0;1.0;1.0;0.0;2.0;66128.0;86.0;2018-May-17;2018-05-17
42;334940;0;False;full;;84.0;1.0;0.0;0.0;1.0;2364.0;31.0;2018-May-29;2018-05-29
43;590380;0;False;full;1.0;90.0;1.0;1.0;1.0;3.0;14409.0;70.0;2018-Feb-27;2018-02-27
44;866800;0;False;full;;77.0;1.0;0.0;0.0;1.0;11925.0;48.0;2018-Aug-13;2018-08-13
45;976940;0;True;;;;1.0;0.0;0.0;1.0;;5.0;2018-ec-9D;
46;609320;0;False;full;2.0;80.0;1.0;1.0;0.0;2.0;12966.0;14.0;2018-May-17;2018-05-17
47;743390;0;False;;1.0;;1.0;0.0;0.0;1.0;2727.0;9.0;2018-Nov-13;2018-11-13
48;673950;0;False;full;16.0;;1.0;1.0;1.0;3.0;15672.0;56.0;2018-Oct-11;2018-10-11
49;686200;0;False;full;3.0;;1.0;0.0;0.0;1.0;7510.0;51.0;2018-Sep-10;2018-09-10
50;528230;0;False;full;1.0;;1.0;0.0;0.0;1.0;8917.0;27.0;2018-Mar-15;2018-03-15
51;765410;0;False;;;;1.0;0.0;0.0;1.0;5829.0;25.0;2018-Aug-22;2018-08-22
52;604330;0;False;;2.0;;1.0;0.0;1.0;2.0;1476.0;33.0;2018-Nov-26;2018-11-26
53;802870;0;False;;4.0;;1.0;0.0;0.0;1.0;1391.0;13.0;2018-Oct-26;2018-10-26
54;589780;0;False;;;80.0;1.0;1.0;1.0;3.0;8804.0;19.0;2018-Jan-22;2018-01-22
55;855640;0;False;full;2.0;73.0;1.0;1.0;1.0;3.0;1242.0;30.0;2018-Sep-21;2018-09-21
56;567380;0;False;full;1.0;;1.0;0.0;1.0;2.0;1154.0;31.0;2018-Dec-24;2018-12-24
57;453090;0;False;;3.0;83.0;1.0;1.0;1.0;3.0;5338.0;34.0;2018-Nov-29;2018-11-29
58;368340;0;False;full;5.0;86.0;1.0;1.0;1.0;3.0;12080.0;86.0;2018-Sep18-20;
59;753220;0;False;;1.0;;1.0;1.0;1.0;3.0;523.0;5.0;2018-Feb-19;2018-02-19
60;917680;0;True;full;1.0;;1.0;1.0;1.0;3.0;;7.0;2018-Aug-30;2018-08-30
61;530320;0;False;full;3.0;82.0;1.0;1.0;0.0;2.0;1582.0;75.0;2018-Sep-27;2018-09-27
62;882710;0;False;;1.0;;1.0;0.0;0.0;1.0;1054.0;30.0;2018-Aug-16;2018-08-16
63;868520;0;False;;2.0;78.0;1.0;0.0;0.0;1.0;2017.0;;2018-Nov-15;2018-11-15
64;336140;0;False;;1.0;87.0;1.0;1.0;1.0;3.0;1727.0;56.0;2018-ug-8A;
65;884260;0;False;full;1.0;;1.0;1.0;1.0;3.0;2193.0;35.0;2018-Sep-10;2018-09-10
66;858760;0;False;;;;1.0;1.0;1.0;3.0;747.0;2.0;2018-May-22;2018-05-22
67;804700;0;False;;1.0;;1.0;0.0;0.0;1.0;762.0;10.0;2018-May-17;2018-05-17
68;868980;18;False;;1.0;;1.0;0.0;0.0;1.0;914.0;69.0;2018-Dec20-18;
69;764790;0;False;full;5.0;83.0;1.0;0.0;0.0;1.0;6898.0;48.0;2018-Aug-30;2018-08-30
70;744190;0;False;;;;1.0;1.0;0.0;2.0;3554.0;50.0;2018-Jan-11;2018-01-11
