appid,new_date
1358090,2021-11-02
1271400,2021-03-17
1608400,2021-07-27
1139280,2021-08-31
1672970,2021-09-22
1712390,2021-12-23
989790,2021-08-19
1559430,2021-04-01
1264280,2021-06-03
1747050,2021-12-08
1174640,2021-11-17
1237730,2021-09-15
977400,2021-11-03
1031900,2021-08-11
1654900,2021-08-15
1789470,2021-11-09
1377450,2021-12-04
1272160,2021-03-04
1124180,2021-06-23
1343370,2021-02-24
1509820,2021-01-14
1748610,2021-11-08
1441840,2021-04-17
1465510,2021-10-22
1567420,2021-05-18
1596540,2021-06-24
1396890,2021-03-05
1199030,2021-05-27
1555110,2021-08-14
1093290,2021-05-20
1708190,2021-08-20
937310,2021-05-06
1000360,2021-02-16
1463890,2021-02-05
1046400,2021-06-03
1614730,2021-06-24
1479500,2021-08-31
1693260,2021-10-14
1559390,2021-11-22
1122680,2021-09-09
1369520,2021-05-25
909380,2021-07-29
1433340,2021-12-03
1801230,2021-12-30
1029210,2021-02-17
969760,2021-07-29
1151450,2021-01-22
1562420,2021-09-10
1592520,2021-11-02
1674270,2021-12-11
1801660,2021-12-16
1724190,2021-10-15
1527910,2021-03-16
1689870,2021-07-29
1431780,2021-10-21
1342890,2021-01-21
1273260,2021-10-20
1336600,2021-07-12
1203420,2021-12-17
1630920,2021-09-14
1574250,2021-08-26
1448030,2021-01-07
1018830,2021-04-02
740130,2021-09-09
1293830,2021-03-09
900400,2021-10-18
1157700,2021-03-29
1733500,2021-12-08
860890,2021-11-17
1541250,2021-02-22
1823360,2021-12-09
252870,2021-06-22
1159560,2021-10-28
936790,2021-09-09
1254670,2021-10-08
1718160,2021-12-07
811320,2021-08-05
1029780,2021-06-01
1732740,2021-10-15
1591490,2021-07-15
1449510,2021-10-14
1648210,2021-08-07
1354910,2021-01-22
1630570,2021-08-19
1661260,2021-11-03
1617430,2021-10-19
1294060,2021-04-28
1560060,2021-11-03
1395030,2021-10-26
1605690,2021-10-15
1018800,2021-11-23
1515200,2021-12-01
1771070,2021-10-27
1252830,2021-09-29
1636420,2021-08-26
1502080,2021-02-19
1610290,2021-07-28
674930,2021-08-11
1621140,2021-06-12
1826860,2021-12-10
1271280,2021-09-01
1147890,2021-09-30
1508750,2021-02-08
1595490,2021-08-04
1679320,2021-07-17
1484280,2021-05-06
1427860,2021-04-19
1541830,2021-03-30
1671340,2021-07-02
1590660,2021-06-14
1259240,2021-04-10
1484800,2021-01-22
1300600,2021-03-10
589940,2021-10-14
1076620,2021-08-03
1549030,2021-02-26
1458100,2021-04-08
956450,2021-12-22
1766790,2021-10-08
593640,2021-05-07
1660910,2021-06-24
1552550,2021-09-24
1612420,2021-08-31
1281160,2021-10-09
1657170,2021-06-22
1609100,2021-06-01
1519490,2021-08-16
1646030,2021-06-06
1582570,2021-04-06
1595640,2021-10-01
1735950,2021-12-03
1266100,2021-10-28
1662850,2021-10-22
1501410,2021-03-05
1792610,2021-12-25
1257290,2021-01-26
1596950,2021-05-30
1742450,2021-10-01
1486630,2021-07-26
1819230,2021-12-03
1503530,2021-02-18
773370,2021-11-18
1422420,2021-08-05
1585700,2021-09-17
1465360,2021-05-17
1609080,2021-07-21
1422540,2021-01-12
1105510,2021-01-28
1540220,2021-04-30
1477810,2021-06-23
629820,2021-05-25
1151930,2021-02-03
1554700,2021-03-10
1647190,2021-06-19
1642220,2021-06-03
1118310,2021-09-14
1683560,2021-09-03
1719180,2021-10-04
1620690,2021-05-28
1276790,2021-11-16
1721980,2021-09-11
1396240,2021-02-16
1576240,2021-04-16
1269690,2021-09-25
1552250,2021-03-04
1357860,2021-07-29
1548320,2021-03-03
1773890,2021-10-14
1283410,2021-09-17
1551360,2021-11-09
1593310,2021-07-15
750290,2021-11-11
1672140,2021-09-10
1607670,2021-06-30
1530760,2021-05-26
1325200,2021-02-05
1682970,2021-09-01
1257850,2021-01-25
1726190,2021-10-21
1329350,2021-07-21
1295500,2021-07-22
1581180,2021-10-05
1476970,2021-04-02
1144770,2021-06-02
1764530,2021-10-18
1751980,2021-12-06
1711400,2021-09-16
1719130,2021-10-11
