;appid;required_age;is_free;controller_support;dlc;metacritic;windows;mac;linux;platforms_num;recommendations;achievements;release_date;release_date_final
0;1118200;0;0.0;;;;1.0;0.0;0.0;1.0;171726.0;17.0;2019-Jul-23;2019-07-23
1;646570;0;0.0;full;1.0;89.0;1.0;1.0;1.0;3.0;112284.0;46.0;2019-Jan-23;2019-01-23
2;1055540;0;0.0;full;;82.0;1.0;1.0;1.0;3.0;11187.0;12.0;2019-Jul-30;2019-07-30
3;460950;0;0.0;full;1.0;83.0;1.0;1.0;0.0;2.0;50745.0;22.0;2019-Apr-18;2019-04-18
4;883710;18;0.0;full;13.0;89.0;1.0;0.0;0.0;1.0;88551.0;44.0;2019-Jan-24;2019-01-24
5;1170880;0;1.0;;1.0;;1.0;0.0;0.0;1.0;;;2019-Oct-30;2019-10-30
6;736260;0;0.0;full;1.0;87.0;1.0;1.0;1.0;3.0;15246.0;18.0;2019-Mar-13;2019-03-13
7;787480;0;0.0;;4.0;80.0;1.0;0.0;0.0;1.0;15933.0;30.0;2019-pr-9A;
8;457140;0;0.0;;2.0;86.0;1.0;1.0;1.0;3.0;93525.0;45.0;2019-Jul-30;2019-07-30
9;1070710;0;0.0;;1.0;;1.0;1.0;1.0;3.0;6786.0;;2019-Sep-12;2019-09-12
10;1093910;0;0.0;;;;1.0;0.0;0.0;1.0;9020.0;15.0;2019-Sep-25;2019-09-25
11;851100;0;0.0;;1.0;;1.0;0.0;0.0;1.0;11214.0;22.0;2019-Feb-25;2019-02-25
12;1067310;0;1.0;full;;;1.0;0.0;0.0;1.0;;20.0;2019-Aug-23;2019-08-23
13;942970;0;0.0;;3.0;72.0;1.0;1.0;0.0;2.0;24937.0;12.0;2019-Mar-28;2019-03-28
14;620980;0;0.0;;152.0;93.0;1.0;0.0;0.0;1.0;62595.0;26.0;2019-May-21;2019-05-21
15;1044620;0;0.0;;7.0;;1.0;0.0;0.0;1.0;3264.0;22.0;2019-Sep-27;2019-09-27
16;814380;17;0.0;full;;88.0;1.0;0.0;0.0;1.0;167036.0;34.0;2019-Mar-21;2019-03-21
17;601150;18;0.0;full;32.0;89.0;1.0;0.0;0.0;1.0;65795.0;55.0;2019-ar-7M;
18;601220;0;0.0;;;;1.0;0.0;0.0;1.0;7369.0;640.0;2019-Dec-11;2019-12-11
19;1067850;0;0.0;full;;;1.0;1.0;1.0;3.0;3260.0;24.0;2019-Jul-29;2019-07-29
20;512900;0;0.0;full;3.0;;1.0;1.0;1.0;3.0;13505.0;52.0;2019-Jul-12;2019-07-12
21;926990;0;0.0;full;4.0;;1.0;1.0;0.0;2.0;5056.0;82.0;2019-Jul-25;2019-07-25
22;1122720;0;0.0;full;1.0;;1.0;0.0;0.0;1.0;6578.0;24.0;2019-Dec-12;2019-12-12
23;1082710;0;0.0;full;1.0;86.0;1.0;0.0;0.0;1.0;3598.0;30.0;2019-Nov-21;2019-11-21
24;557340;0;0.0;full;1.0;81.0;1.0;0.0;0.0;1.0;22237.0;30.0;2019-Jun19-20;
25;732690;0;0.0;;1.0;;1.0;0.0;0.0;1.0;8863.0;15.0;2019-May-28;2019-05-28
26;812810;0;1.0;;1.0;;1.0;1.0;1.0;3.0;;4.0;2019-May-30;2019-05-30
27;1122750;0;1.0;;1.0;;1.0;0.0;0.0;1.0;;14.0;2019-ug-2A;
28;813780;0;0.0;;6.0;84.0;1.0;0.0;0.0;1.0;109078.0;237.0;2019-Nov-14;2019-11-14
29;1127400;0;0.0;;;;1.0;1.0;1.0;3.0;12755.0;88.0;2019-Sep-26;2019-09-26
30;943700;0;1.0;;;;1.0;0.0;0.0;1.0;;;2019-Jun20-19;
31;1160490;0;0.0;;6.0;;1.0;0.0;0.0;1.0;2408.0;12.0;2019-Nov-11;2019-11-11
