24_Hour_Peak;All_time_peak;average_forever;average_2weeks;median_forever;median_2weeks;price;initialprice;num_lang;required_age;controller_support;dlc;metacritic_tf;platforms_num;achievements;days_after_release;months_after_release
;;;;;;;;;;;;;;;;
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
0.0;109.0;49.0;0.0;73.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1900.0;63.0
0.0;0.0;0.0;0.0;0.0;0.0;2.99;2.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
0.0;0.0;0.0;0.0;0.0;0.0;5.99;6.99;2.0;0.0;0.0;0.0;0.0;1.0;14.0;954.0;31.0
0.0;0.0;0.0;0.0;0.0;0.0;3.99;4.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;973.0;32.0
2.0;150.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1052.0;35.0
;;;;;;;;;;;;;;;;
0.0;1.0;0.0;0.0;0.0;0.0;6.99;7.99;3.0;0.0;0.0;0.0;0.0;1.0;13.0;931.0;31.0
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;1.0;0.0;0.0;0.0;0.0;1.0;0.0;931.0;31.0
0.0;109.0;49.0;0.0;72.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1841.0;61.0
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;3.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
2.5;66.0;333.0;0.0;345.0;0.0;14.995;14.995;1.0;0.0;0.0;4.5;0.0;1.0;0.0;1708.0;56.5
0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;8.0;0.0;0.0;0.0;0.0;1.0;0.0;1624.0;54.0
0.0;0.0;0.0;0.0;0.0;0.0;3.99;3.99;2.0;0.0;0.0;0.0;0.0;1.0;11.0;937.0;31.0
