;24_Hour_Peak;All_time_peak;average_forever;average_2weeks;median_forever;median_2weeks;price;initialprice;num_lang;required_age;controller_support;dlc;metacritic_tf;platforms_num;achievements;days_after_release;months_after_release
360v Positive;;;;;;;;;;;;;;;;;
short Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
simulation Positive;160.47605561277035;1162.23017507724;354.9461894953656;32.05046343975283;314.06874356333674;33.458290422245106;10.465247167868178;11.7012693099897;7.1480432543769306;0.13439752832131824;0.16915550978372812;0.896755921730175;0.05020597322348095;1.3666323377960865;24.850926879505664;940.6006694129763;30.87358393408857
simulation Negative;27.57767925983038;239.26503469545105;74.81399383191982;2.5414417887432537;70.02563608326908;2.6376252891287586;8.323868542791056;8.782503855050116;4.834232845026985;0.09252120277563608;0.07825751734772551;0.306283731688512;0.008095605242868157;1.235929067077872;26.347532767925983;1006.7920200462606;33.07401696222051
softwaretraining Positive;119.0;740.0;62.5;0.0;72.5;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;1.5;0.0;1870.5;62.0
softwaretraining Negative;0.0;0.0;0.0;0.0;0.0;0.0;10.49;10.49;12.0;0.0;0.0;0.5;0.0;1.5;0.25;1195.5;39.25
sports Positive;196.5621301775148;1615.7976331360946;359.06745562130175;13.26508875739645;296.77869822485206;13.33491124260355;9.671005917159762;12.837881656804733;7.208284023668639;0.05325443786982249;0.30650887573964497;1.0201183431952663;0.05798816568047337;1.3349112426035503;29.26863905325444;970.5917159763313;31.867455621301776
sports Negative;101.08915662650602;367.5903614457831;85.12931726907631;3.180722891566265;69.5566265060241;3.508433734939759;7.784939759036145;8.768353413654618;5.125301204819277;0.06506024096385542;0.21044176706827308;0.1718875502008032;0.008032128514056224;1.219277108433735;13.571084337349397;1060.2353413654619;34.853815261044176
strategy Positive;137.7021732476278;1182.3657790021427;414.8065503520049;37.50290786654423;391.73431282522193;38.88582797673707;9.984178145087236;10.904276094276094;7.33425160697888;0.11662075298438934;0.17141108050198958;0.7235996326905417;0.0655035200489746;1.4594429139883685;30.361799816345272;958.349556167738;31.464646464646464
strategy Negative;17.638856015779094;255.2706114398422;64.53609467455621;2.712031558185404;61.130571992110454;2.842998027613412;7.193998027613413;7.476842209072978;4.685207100591716;0.09526627218934912;0.09013806706114398;0.23747534516765287;0.01282051282051282;1.2856015779092702;23.297041420118344;996.2617357001973;32.71715976331361
tutorial Positive;;;;;;;;;;;;;;;;;
tutorial Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
utilities Positive;50.0;317.2;151.2;0.0;158.0;0.0;10.794;10.794;6.0;0.0;0.0;1.8;0.0;1.2;0.0;1408.8;46.6
utilities Negative;0.0;0.0;0.0;0.0;0.0;0.0;7.392;7.392;10.6;0.0;0.0;0.4;0.0;1.4;2.2;1395.4;46.0
videoproduction Positive;0.0;54.5;24.5;0.0;36.5;0.0;0.495;0.495;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1857.5;61.5
videoproduction Negative;0.0;0.0;0.0;0.0;0.0;0.0;8.49;8.49;20.5;0.0;0.0;0.0;0.0;1.0;0.0;905.5;29.5
violent Positive;0.23809523809523808;33.19047619047619;24.047619047619047;0.0;28.095238095238095;0.0;5.199999999999998;5.37142857142857;2.142857142857143;0.0;0.19047619047619047;0.0;0.0;1.3333333333333333;7.285714285714286;1836.952380952381;60.666666666666664
violent Negative;0.0;0.8522727272727273;0.29545454545454547;0.0;0.3068181818181818;0.0;6.558750000000001;6.989886363636362;1.8522727272727273;0.0;0.07954545454545454;0.03409090909090909;0.022727272727272728;1.1590909090909092;3.147727272727273;1846.215909090909;61.02272727272727
webpublishing Positive;79.33333333333333;494.3333333333333;41.666666666666664;0.0;48.333333333333336;0.0;0.33;0.33;17.666666666666668;0.0;0.0;0.0;0.0;1.3333333333333333;33.0;1544.3333333333333;51.0
webpublishing Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
