;appid;required_age;is_free;controller_support;dlc;metacritic;metacritic_tf;windows;mac;linux;platforms_num;recommendations;achievements;release_date;days_after_release
0;1794680.0;0.0;0.0;1;3.0;87.0;1;1.0;1.0;0.0;2.0;186533.0;184.0;;
1;1332010.0;0.0;0.0;1;1.0;;0;1.0;0.0;0.0;1.0;105554.0;24.0;;
2;1583720.0;0.0;1.0;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;39.0;;
3;1290000.0;0.0;0.0;1;3.0;;0;1.0;0.0;0.0;1.0;31399.0;40.0;;
4;1593500.0;18.0;0.0;1;0.0;93.0;1;1.0;0.0;0.0;1.0;70993.0;37.0;;
5;1533420.0;0.0;0.0;1;1.0;89.0;1;1.0;0.0;0.0;1.0;9525.0;63.0;;
6;1999360.0;0.0;0.0;0;3.0;;0;1.0;0.0;0.0;1.0;7029.0;28.0;;
7;1687950.0;18.0;0.0;1;0.0;95.0;1;1.0;0.0;0.0;1.0;27386.0;53.0;;
8;1942280.0;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;32743.0;71.0;;
9;1684930.0;0.0;0.0;1;1.0;;0;1.0;0.0;0.0;1.0;3699.0;22.0;;
10;1817070.0;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;44511.0;78.0;;
11;1424330.0;0.0;0.0;0;1.0;79.0;1;1.0;1.0;0.0;2.0;6079.0;73.0;;
12;1868140.0;0.0;0.0;1;0.0;;0;1.0;1.0;0.0;2.0;11063.0;15.0;;
13;1985690.0;0.0;1.0;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;10.0;;
14;1677770.0;0.0;0.0;1;2.0;;0;1.0;1.0;0.0;2.0;3272.0;14.0;;
15;1455840.0;0.0;0.0;1;2.0;;0;1.0;0.0;0.0;1.0;21071.0;85.0;;
16;1167630.0;0.0;0.0;1;0.0;80.0;1;1.0;0.0;0.0;1.0;65397.0;27.0;;
17;1059990.0;0.0;0.0;0;1.0;82.0;1;1.0;1.0;0.0;2.0;6155.0;23.0;;
18;1260520.0;0.0;0.0;1;1.0;;0;1.0;1.0;1.0;3.0;2296.0;22.0;;
19;1901370.0;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;2367.0;1.0;;
20;1586800.0;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;1816.0;22.0;;
21;1948280.0;0.0;0.0;0;0.0;;0;1.0;1.0;0.0;2.0;18397.0;36.0;;
22;1969080.0;0.0;0.0;0;1.0;;0;1.0;0.0;1.0;2.0;2178.0;23.0;;
23;1061910.0;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;8662.0;28.0;;
24;2070550.0;0.0;0.0;0;1.0;;0;1.0;0.0;1.0;2.0;1610.0;31.0;;
25;658920.0;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;34.0;;
26;1284190.0;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;19577.0;33.0;;
27;1665190.0;0.0;0.0;1;6.0;;0;1.0;1.0;1.0;3.0;1858.0;73.0;;
28;1718570.0;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;14413.0;84.0;;
29;799640.0;0.0;0.0;1;3.0;;0;1.0;1.0;0.0;2.0;5449.0;35.0;;
30;1927720.0;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;1762.0;19.0;;
31;1328840.0;0.0;0.0;1;1.0;;0;1.0;1.0;0.0;2.0;2458.0;19.0;;
32;1293180.0;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;3066.0;37.0;;
33;1275670.0;0.0;1.0;0;3.0;;0;1.0;0.0;0.0;1.0;0.0;26.0;;
34;674140.0;0.0;0.0;1;1.0;;0;1.0;1.0;0.0;2.0;3089.0;30.0;;
35;2237980.0;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
36;1574270.0;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;1889.0;0.0;;
37;1829980.0;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;1799.0;12.0;;
38;1350650.0;0.0;;0;0.0;;0;;;;;0.0;0.0;;
39;1262350.0;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;6786.0;13.0;;
40;1171320.0;0.0;False;1;1.0;;0;1.0;1.0;0.0;2.0;973.0;6.0;;
41;2206340.0;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;619.0;16.0;;
42;1776970.0;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;1455.0;38.0;;
43;2088570.0;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;2944.0;32.0;;
44;1599600.0;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;8820.0;26.0;;
