;appid;required_age;is_free;controller_support;dlc;metacritic;metacritic_tf;windows;mac;linux;platforms_num;recommendations;achievements;release_date;days_after_release
0;508440;0.0;0.0;0;1.0;;0;1.0;1.0;0.0;2.0;99013.0;64.0;;
1;1366540;0.0;0.0;0;2.0;;0;1.0;0.0;0.0;1.0;63801.0;100.0;;
2;1288310;0.0;0.0;1;1.0;;0;1.0;0.0;0.0;1.0;29399.0;10.0;;
3;774181;0.0;0.0;1;0.0;;0;1.0;1.0;1.0;3.0;16003.0;24.0;;
4;1361320;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;11575.0;9.0;;
5;1467450;0.0;1.0;0;2.0;;0;1.0;0.0;0.0;1.0;0.0;40.0;;
6;1092790;0.0;0.0;0;1.0;;0;1.0;1.0;1.0;3.0;83647.0;40.0;;
7;1454400;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;42046.0;637.0;;
8;1421250;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;9927.0;31.0;;
9;1698960;0.0;1.0;1;1.0;;0;1.0;0.0;0.0;1.0;0.0;10.0;;
10;1307580;0.0;0.0;1;1.0;79.0;1;1.0;1.0;1.0;3.0;2609.0;48.0;;
11;1507970;0.0;1.0;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;0.0;;
12;1806840;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;100.0;;
13;1082430;0.0;0.0;0;1.0;;0;1.0;1.0;0.0;2.0;9236.0;11.0;;
14;1250760;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;4508.0;70.0;;
15;1390350;0.0;0.0;1;1.0;;0;1.0;0.0;0.0;1.0;9448.0;19.0;;
16;597170;0.0;0.0;1;0.0;82.0;1;1.0;1.0;0.0;2.0;20476.0;60.0;;
17;1469280;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;13.0;;
18;1584090;0.0;0.0;1;8.0;;0;1.0;1.0;0.0;2.0;12815.0;141.0;;
19;1530140;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;2040.0;10.0;;
20;1708870;0.0;1.0;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;7.0;;
21;488860;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;10799.0;52.0;;
22;1388880;0.0;0.0;0;1.0;81.0;1;1.0;1.0;0.0;2.0;18207.0;19.0;;
23;1604000;0.0;0.0;0;1.0;;0;1.0;1.0;1.0;3.0;9904.0;10.0;;
24;1713610;0.0;1.0;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
25;1567800;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;1826.0;12.0;;
26;607080;0.0;0.0;1;3.0;89.0;1;1.0;1.0;1.0;3.0;7512.0;57.0;;
27;1196590;18.0;0.0;1;7.0;83.0;1;1.0;0.0;0.0;1.0;63076.0;56.0;;
28;1255980;0.0;1.0;0;0.0;;0;1.0;1.0;1.0;3.0;0.0;0.0;;
29;1426210;0.0;0.0;1;0.0;89.0;1;1.0;0.0;0.0;1.0;107586.0;20.0;;
30;990630;0.0;0.0;1;0.0;80.0;1;1.0;0.0;0.0;1.0;4627.0;22.0;;
31;1520370;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;7926.0;0.0;;
32;1388770;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;9648.0;0.0;;
33;1655140;0.0;1.0;1;0.0;;0;1.0;1.0;0.0;2.0;0.0;6.0;;
34;1806040;0.0;1.0;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;25.0;;
35;892970;0.0;0.0;1;1.0;;0;1.0;0.0;1.0;2.0;347171.0;0.0;;
36;1714320;0.0;1.0;0;1.0;;0;1.0;1.0;1.0;3.0;0.0;0.0;;
37;1291340;0.0;0.0;1;0.0;;0;1.0;1.0;0.0;2.0;17245.0;0.0;;
38;1504500;0.0;0.0;1;7.0;90.0;1;1.0;1.0;0.0;2.0;6354.0;40.0;;
39;1764390;0.0;0.0;1;2.0;;0;1.0;1.0;1.0;3.0;4772.0;48.0;;
40;1408230;0.0;0.0;0;10.0;;0;1.0;0.0;0.0;1.0;2059.0;0.0;;
41;1830840;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
42;1407420;0.0;0.0;0;1.0;;0;1.0;1.0;0.0;2.0;2024.0;10.0;;
43;1290490;0.0;1.0;1;1.0;;0;1.0;0.0;0.0;1.0;0.0;3.0;;
44;1715460;0.0;1.0;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;7.0;;
45;1727650;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
46;1641270;0.0;1.0;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;7.0;;
47;1609230;0.0;0.0;1;4.0;;0;1.0;1.0;1.0;3.0;1044.0;141.0;;
48;1190000;0.0;0.0;0;13.0;;0;1.0;0.0;0.0;1.0;18536.0;46.0;;
49;1161170;0.0;0.0;0;2.0;;0;1.0;1.0;0.0;2.0;5142.0;29.0;;
50;1127500;0.0;0.0;1;0.0;87.0;1;1.0;1.0;0.0;2.0;15407.0;115.0;;
51;337320;0.0;0.0;1;1.0;;0;1.0;1.0;1.0;3.0;20395.0;30.0;;
52;874260;0.0;0.0;1;2.0;84.0;1;1.0;0.0;0.0;1.0;6907.0;40.0;;
53;1268960;0.0;0.0;1;1.0;;0;1.0;1.0;1.0;3.0;1884.0;9.0;;
54;1546570;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;2737.0;0.0;;
55;1182620;0.0;0.0;0;2.0;80.0;1;1.0;1.0;1.0;3.0;8521.0;1.0;;
