;appid;required_age;is_free;controller_support;dlc;metacritic;metacritic_tf;windows;mac;linux;platforms_num;recommendations;achievements;release_date;days_after_release
62;937580;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;960.0;0.0;;
63;996580;0.0;0.0;1;0.0;;0;1.0;0.0;0.0;1.0;9750.0;105.0;;
64;977950;0.0;0.0;0;3.0;;0;1.0;1.0;1.0;3.0;48843.0;47.0;;
65;966320;0.0;0.0;0;0.0;;0;1.0;1.0;1.0;3.0;1780.0;14.0;;
66;1058640;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;15.0;;
67;1049280;0.0;0.0;1;1.0;78.0;1;1.0;1.0;1.0;3.0;2683.0;45.0;;
68;801480;0.0;0.0;1;0.0;;0;1.0;1.0;0.0;2.0;3664.0;30.0;;
69;913550;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;2252.0;0.0;;
70;752590;18.0;0.0;1;1.0;81.0;1;1.0;0.0;0.0;1.0;45668.0;35.0;;
71;632470;0.0;0.0;1;2.0;97.0;1;1.0;1.0;0.0;2.0;70552.0;45.0;;
72;900270;0.0;0.0;1;1.0;84.0;1;1.0;0.0;0.0;1.0;6852.0;101.0;;
73;597760;0.0;0.0;1;0.0;81.0;1;1.0;1.0;1.0;3.0;4954.0;48.0;;
74;1007040;18.0;0.0;1;20.0;76.0;1;1.0;0.0;0.0;1.0;6724.0;39.0;;
75;673130;0.0;0.0;1;3.0;85.0;1;1.0;0.0;0.0;1.0;5080.0;37.0;;
76;681280;0.0;0.0;1;1.0;78.0;1;1.0;1.0;1.0;3.0;11135.0;42.0;;
77;1079160;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;909.0;0.0;;
78;1072390;0.0;1.0;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;22.0;;
79;965820;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;888.0;40.0;;
80;1169040;0.0;0.0;1;0.0;;0;1.0;1.0;1.0;3.0;5748.0;27.0;;
81;494150;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;3369.0;0.0;;
82;1043340;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;1170.0;42.0;;
83;866440;0.0;1.0;0;0.0;;0;1.0;1.0;1.0;3.0;0.0;6.0;;
84;976730;18.0;0.0;1;6.0;;0;1.0;0.0;0.0;1.0;186217.0;700.0;;
85;970560;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;851.0;50.0;;
86;1002560;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;3241.0;9.0;;
87;440310;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;1666.0;5.0;;
88;937170;0.0;0.0;0;2.0;;0;1.0;1.0;0.0;2.0;5959.0;27.0;;
89;1200860;0.0;1.0;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;0.0;;
90;1071120;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;24.0;;
91;992740;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;315.0;20.0;;
92;359510;0.0;0.0;1;1.0;;0;1.0;1.0;0.0;2.0;2904.0;10.0;;
93;655500;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;11531.0;0.0;;
94;933480;0.0;1.0;0;4.0;;0;1.0;0.0;0.0;1.0;0.0;84.0;;
95;934840;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;28.0;;
96;578620;0.0;0.0;0;0.0;85.0;1;1.0;0.0;0.0;1.0;7117.0;0.0;;
97;1109460;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;7.0;;
98;1012880;0.0;0.0;1;0.0;;0;1.0;1.0;0.0;2.0;10134.0;60.0;;
99;1005300;0.0;0.0;1;1.0;80.0;1;1.0;1.0;1.0;3.0;1941.0;20.0;;
100;916730;0.0;0.0;1;1.0;79.0;1;1.0;0.0;0.0;1.0;2793.0;12.0;;
101;1057680;0.0;0.0;0;1.0;;0;1.0;0.0;0.0;1.0;2041.0;0.0;;
102;1004240;0.0;0.0;0;0.0;;0;1.0;1.0;0.0;2.0;3603.0;100.0;;
103;834530;0.0;0.0;1;0.0;80.0;1;1.0;0.0;0.0;1.0;11402.0;55.0;;
104;1012240;0.0;1.0;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
105;1184770;0.0;0.0;0;0.0;;0;1.0;0.0;0.0;1.0;1451.0;0.0;;
106;1010890;0.0;1.0;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;9.0;;
107;1064730;0.0;;0;0.0;;0;;;;;0.0;0.0;;
108;1092590;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;890.0;81.0;;
