developer	publisher	positive	negative	average_forever	average_2weeks	median_forever	median_2weeks	price	initialprice	languages	tags	genre	appid	num_lang
poncle	poncle	193514	2505	1697	462	1114	414	4.99	4.99	English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Turkish	{'Action Roguelike': 499, 'Bullet Hell': 450, 'Pixel Graphics': 436, 'Rogue-lite': 365, '2D': 347, 'Indie': 320, 'Singleplayer': 310, 'Vampire': 307, 'Casual': 286, 'Action': 259, 'Arcade': 232, 'RPG': 206, 'Controller': 197, 'Retro': 192, 'Score Attack': 185, 'Action RPG': 182, 'Rogue-like': 177, 'Dark Fantasy': 173, 'Early Access': 112, '1980s': 100}	Action, Casual, Indie, RPG	1794680	17
BlueTwelve Studio	Annapurna Interactive	114525	3072	337	260	341	296	29.99	29.99	English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Dutch, Portuguese - Portugal	{'Cats': 1246, 'Adventure': 886, 'Cyberpunk': 789, 'Atmospheric': 759, 'Cute': 735, 'Singleplayer': 730, 'Exploration': 714, 'Robots': 641, 'Third Person': 621, 'Beautiful': 591, 'Puzzle': 563, 'Horror': 558, 'Sci-fi': 518, 'Indie': 479, 'Dystopian ': 434, 'Mystery': 394, 'Open World': 386, 'Action': 307, 'Colorful': 306, 'Stealth': 302}	Adventure, Indie	1332010	27
		0	0	579	355	433	355	0.0	0.0		[]		1583720	0
FuturLab	Square Enix	34268	853	1726	3453	747	3453	24.99	24.99	English, Korean, Russian, French, German, Spanish - Spain, Japanese, Simplified Chinese, Traditional Chinese	{'Casual': 587, 'Relaxing': 382, 'Simulation': 372, 'First-Person': 370, 'Immersive Sim': 365, 'Sandbox': 365, '3D': 362, 'Funny': 352, 'Story Rich': 335, 'Multiplayer': 318, 'Colorful': 311, 'Co-op': 311, 'Realistic': 309, 'Family Friendly': 306, 'Wholesome': 299, 'Online Co-Op': 293, 'Singleplayer': 274, 'Indie': 250, 'Cozy': 165, 'Atmospheric': 156}	Casual, Indie, Simulation	1290000	13
Santa Monica Studio	PlayStation PC LLC	98257	3067	1542	107	1198	128	49.99	49.99	English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Spanish - Latin America, Turkish, Traditional Chinese, Czech, Hungarian, Greek	{'Action': 711, 'Singleplayer': 641, 'Story Rich': 624, 'Adventure': 622, 'Mythology': 607, 'Combat': 428, 'Third Person': 422, 'RPG': 397, 'Violent': 389, 'Hack and Slash': 355, 'Fantasy': 354, 'Exploration': 327, 'Atmospheric': 307, 'Open World': 286, 'Gore': 279, 'Emotional': 263, 'Action RPG': 258, 'Souls-like': 215, '3D': 209, 'PvE': 165}	Action, Adventure, RPG	1593500	28
Angel Matrix	Annapurna Interactive	11035	187	988	0	435	0	19.99	24.99	English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish	{'Action': 147, 'FPS': 136, 'Parkour': 136, 'Platformer': 129, 'Great Soundtrack': 129, '3D Platformer': 112, 'Anime': 102, 'Adventure': 94, 'Shooter': 94, 'Indie': 87, 'Singleplayer': 78, 'Precision Platformer': 76, 'Dating Sim': 71, 'Fast-Paced': 68, '3D': 65, 'First-Person': 64, 'Stylized': 48, 'Story Rich': 33, 'Mystery': 28, 'Card Game': 21}	Action, Adventure, Indie	1533420	26
turbolento games	turbolento games	7856	120	1683	0	2421	0	1.49	1.99	English, Italian, Japanese, Spanish - Spain, French, Russian, Portuguese - Brazil, Traditional Chinese, German, Ukrainian, Korean, Simplified Chinese, Turkish	"{'Collectathon': 174, 'Cute': 174, 'Relaxing': 168, 'Physics': 168, 'Immersive Sim': 167, '3D': 155, 'Casual': 144, 'Psychological Horror': 142, 'Life Sim': 141, 'Funny': 138, 'Third Person': 133, 'Female Protagonist': 133, 'Simulation': 131, 'Colorful': 122, 'Surreal': 120, 'Realistic': 111, 'Family Friendly': 105, 'Atmospheric': 100, 'Memes': 82, ""1990's"": 79}"	Casual, Simulation	1999360	19
ATLUS	SEGA	35336	1006	3460	390	2291	571	59.99	59.99	English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese	{'JRPG': 625, 'Story Rich': 518, 'Anime': 501, 'Great Soundtrack': 493, 'Turn-Based Combat': 490, 'RPG': 456, 'Party-Based RPG': 415, 'Singleplayer': 383, 'Turn-Based Strategy': 354, 'Emotional': 343, 'Multiple Endings': 334, 'Dating Sim': 315, 'Colorful': 308, 'Visual Novel': 303, 'Sexual Content': 241, 'Adventure': 227, 'Heist': 182, 'Soundtrack': 160, 'Detective': 145, 'Violent': 73}	RPG	1687950	13
Blobfish	Blobfish	33006	990	1852	400	840	452	4.99	4.99	English, French, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Italian, Turkish	{'Early Access': 543, 'Action Roguelike': 493, 'Rogue-lite': 481, 'Bullet Hell': 468, 'Arena Shooter': 464, 'Top-Down Shooter': 445, '2D': 436, 'Casual': 423, 'RPG': 380, 'Top-Down': 375, 'Action': 349, 'Post-apocalyptic': 336, 'Procedural Generation': 328, 'Hand-drawn': 324, 'Funny': 309, 'Aliens': 290, 'Cartoony': 285, 'Controller': 266, 'Combat': 262, 'Perma Death': 233}	Action, Casual, Indie, RPG, Early Access	1942280	19
Jasozz Games	3D Realms	3963	41	475	23	578	23	9.99	9.99	English	{'FPS': 98, 'Action': 92, 'Old School': 83, 'Shooter': 80, 'First-Person': 68, 'Horror': 57, 'Retro': 55, '3D': 54, 'Dark': 44, 'Gore': 44, 'Violent': 40, 'Stylized': 39, 'Indie': 32, 'Singleplayer': 32, 'Pixel Graphics': 29, 'Combat': 27, 'Physics': 25, 'PvE': 22, 'Lovecraftian': 10}	Action, Indie	1684930	1
Insomniac Games, Nixxes Software	PlayStation PC LLC	60196	2161	1448	75	1015	91	59.99	59.99	English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Spanish - Latin America, Swedish, Traditional Chinese	{'Superhero': 425, 'Open World': 388, 'Action': 376, 'Singleplayer': 339, 'Adventure': 293, 'Story Rich': 289, 'Combat': 253, 'Action-Adventure': 240, 'Third Person': 229, 'Parkour': 200, 'Comic Book': 194, 'Exploration': 159, 'Beautiful': 152, 'Casual': 135, 'Great Soundtrack': 124, 'Stealth': 116, 'Funny': 82, 'Atmospheric': 79, 'Sci-fi': 70, 'Multiplayer': 51}	Action, Adventure, Casual	1817070	31
Animal Uprising	Secret Mode	6598	120	345	0	481	0	19.99	19.99	English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Traditional Chinese	{'Wholesome': 204, 'Dog': 202, 'Sandbox': 172, 'Cute': 171, 'Colorful': 156, 'Simulation': 151, 'Life Sim': 148, 'Family Friendly': 147, 'Funny': 145, 'Physics': 140, 'Casual': 118, 'Experimental': 117, 'Artificial Intelligence': 113, '3D': 110, 'Singleplayer': 110, 'Indie': 92, 'Procedural Generation': 86, 'Stylized': 76, 'Early Access': 47, 'Great Soundtrack': 46}	Casual, Indie, Simulation	1424330	14
MINTROCKET	MINTROCKET	11254	270	619	91	567	91	19.99	19.99	English, Korean, Japanese, Simplified Chinese, German, Spanish - Spain, Traditional Chinese	{'Casual': 286, 'Pixel Graphics': 271, 'RPG': 270, 'Early Access': 267, 'Adventure': 266, 'Simulation': 261, 'Relaxing': 253, 'Fishing': 252, 'Farming Sim': 249, 'Crafting': 246, '2D': 240, 'Indie': 238, 'Management': 235, 'Exploration': 233, 'Agriculture': 228, 'Rogue-lite': 222, 'Underwater': 221, 'Story Rich': 219, 'Funny': 216, 'Action': 205}	Adventure, Casual, Indie, RPG, Simulation, Early Access	1868140	11
		0	0	0	0	0	0	0.0	0.0		[]		1985690	0
Color Gray Games	Playstack	3581	42	320	192	358	301	17.99	17.99	English	{'Mystery': 257, 'Investigation': 244, 'Detective': 244, 'Conspiracy': 234, '2D': 220, 'Thriller': 218, 'Interactive Fiction': 216, 'Story Rich': 213, 'Puzzle': 212, 'Dark': 205, 'Atmospheric': 197, 'Choices Matter': 197, 'Point & Click': 188, 'Singleplayer': 186, 'Historical': 184, 'Adventure': 177, 'Pixel Graphics': 176, 'Crime': 165, 'Narrative': 147, 'Exploration': 136}	Adventure, Indie	1677770	1
Holy Wow Studios LLC	Holy Wow Studios LLC	6449	123	178	6	223	6	14.99	14.99	English	{'Rhythm': 183, 'Comedy': 152, 'Funny': 147, 'Music': 145, 'Cute': 139, 'Cartoon': 135, 'Casual': 129, 'Singleplayer': 116, 'Colorful': 112, 'Parody ': 106, 'Moddable': 101, 'Satire': 99, '3D': 97, 'Memes': 93, 'Family Friendly': 89, 'Horror': 86, 'Souls-like': 84, 'Experimental': 78, 'Indie': 74, 'Difficult': 41}	Casual, Indie	1059990	1
Tuxedo Labs	Tuxedo Labs	66919	2561	801	47	391	48	29.99	29.99	English	{'Destruction': 789, 'Physics': 698, 'Sandbox': 674, 'Voxel': 598, 'First-Person': 537, 'Heist': 484, 'Open World': 480, 'Singleplayer': 476, 'Realistic': 451, 'Simulation': 431, '3D': 413, 'Action': 412, 'Puzzle': 400, 'Driving': 381, 'Indie': 367, 'Replay Value': 364, 'Tactical': 364, 'Immersive Sim': 358, 'Puzzle-Platformer': 344, 'Runner': 318}	Action, Indie, Simulation, Strategy	1167630	1
Toukana Interactive	Toukana Interactive	21985	679	600	0	198	0	13.99	13.99	English, German, French, Italian, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Polish, Swedish, Spanish - Spain, Turkish, Arabic, Dutch, Hungarian, Japanese, Norwegian, Portuguese - Portugal, Ukrainian, Korean, Czech	{'Turn-Based Strategy': 449, 'City Builder': 412, 'Puzzle': 407, 'Simulation': 400, 'Indie': 398, 'Strategy': 392, 'Turn-Based Tactics': 390, 'Relaxing': 387, 'Sandbox': 378, 'Board Game': 375, 'Logic': 373, 'Casual': 373, 'Procedural Generation': 369, 'Controller': 362, 'Family Friendly': 341, 'Minimalist': 333, '3D': 325, 'Hand-drawn': 320, 'Open World': 314, 'Singleplayer': 229}	Casual, Indie, Simulation, Strategy	1455840	33
Patrick Traynor	Patrick Traynor	2387	15	297	0	380	0	19.99	19.99	English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese	{'Puzzle': 126, 'Sokoban': 117, 'Abstract': 103, 'Logic': 103, 'Minimalist': 102, 'Singleplayer': 89, '2D': 81, 'Indie': 73, 'Casual': 61, 'Difficult': 61, 'Strategy': 49, 'Psychological Horror': 7}	Casual, Indie, Strategy	1260520	15
