developer	publisher	positive	negative	average_forever	average_2weeks	median_forever	median_2weeks	price	initialprice	languages	tags	genre	appid	num_lang
Ludeon Studios	Ludeon Studios	157384	3038	11504	1134	5254	892	34.99	34.99	English, French, German, Polish, Russian, Italian, Spanish - Spain, Czech, Danish, Dutch, Hungarian, Japanese, Norwegian, Portuguese - Portugal, Portuguese - Brazil, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Ukrainian, Finnish, Korean, Romanian, Spanish - Latin America	{'Colony Sim': 3516, 'Base-Building': 3435, 'Survival': 3090, 'Strategy': 2423, 'Sandbox': 2336, 'Management': 2335, 'Building': 1831, 'Simulation': 1642, 'Singleplayer': 1369, 'City Builder': 1362, 'Moddable': 1356, 'Open World': 1329, 'Procedural Generation': 1305, '2D': 1275, 'Sci-fi': 1225, 'Indie': 1223, 'Space': 1192, 'Tactical RPG': 1183, 'Western': 1143, 'Cartoony': 1130}	Indie, Simulation, Strategy	294100	35
Ninja Kiwi	Ninja Kiwi	247076	6449	3780	301	1467	65	13.99	13.99	English, French, Italian, German, Danish, Finnish, Japanese, Korean, Norwegian, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkish, Polish	{'Tower Defense': 813, 'Strategy': 730, 'Multiplayer': 571, 'Singleplayer': 541, 'Co-op': 517, 'Online Co-Op': 514, 'Family Friendly': 416, 'Casual': 361, '3D': 337, 'Cartoony': 297, 'Sandbox': 289, 'Great Soundtrack': 243, 'Difficult': 237, 'Funny': 229, 'Cute': 202, 'Survival': 185, 'Action': 181, 'Indie': 161, '2D': 135, 'Adventure': 75}	Strategy	960090	24
Extremely OK Games, Ltd.	Maddy Makes Games Inc.	71458	1687	1273	801	434	1534	19.99	19.99	English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Simplified Chinese	{'Precision Platformer': 1031, 'Difficult': 1020, 'Pixel Graphics': 1018, 'Great Soundtrack': 1013, 'Platformer': 966, 'Indie': 887, '2D Platformer': 824, 'Female Protagonist': 687, 'Singleplayer': 570, '2D': 567, 'Story Rich': 537, 'Adventure': 456, 'Cute': 413, 'Puzzle-Platformer': 346, 'Atmospheric': 320, 'Action': 306, 'LGBTQ+': 296, 'Side Scroller': 212, 'Retro': 210, 'Exploration': 203}	Action, Adventure, Indie	504230	14
Motion Twin	Motion Twin	128148	3724	2548	147	918	190	14.99	24.99	English, French, Simplified Chinese, Italian, German, Spanish - Spain, Japanese, Portuguese - Portugal, Russian, Turkish, Korean, Traditional Chinese, Portuguese - Brazil	{'Adventure': 3912, 'Action Roguelike': 3500, 'Metroidvania': 3481, 'Pixel Graphics': 3480, '2D': 3477, 'Souls-like': 3451, 'Rogue-like': 3434, 'Replay Value': 3434, 'Hack and Slash': 3428, 'Rogue-lite': 3413, 'Platformer': 3406, 'Roguevania': 3401, 'Singleplayer': 3395, 'Action': 3390, 'Difficult': 3378, 'Atmospheric': 3360, 'Dark Fantasy': 3351, 'Procedural Generation': 3348, 'Funny': 3321, 'Indie': 1004}	Action, Adventure, Indie	588650	21
Unknown Worlds Entertainment	Unknown Worlds Entertainment	222068	7800	1938	315	847	250	29.99	29.99	English, French, German, Polish, Russian, Simplified Chinese, Turkish, Finnish, Italian, Czech, Hungarian, Spanish - Spain, Danish, Japanese, Korean, Portuguese - Brazil, Bulgarian, Ukrainian, Dutch, Swedish, Vietnamese, Spanish - Latin America, Traditional Chinese, Portuguese - Portugal, Latvian, Lithuanian, Slovak	{'Open World Survival Craft': 6650, 'Survival': 6640, 'Open World': 5534, 'Exploration': 5386, 'Underwater': 5308, 'Horror': 5255, 'Crafting': 4678, 'Base-Building': 4406, 'Singleplayer': 4207, 'Adventure': 3740, 'First-Person': 3679, 'Sci-fi': 3108, 'Sandbox': 2724, 'Aliens': 2630, 'Atmospheric': 2618, 'Survival Horror': 2281, 'Multiplayer': 1920, 'Action': 1652, 'Indie': 1420, 'Early Access': 1246}	Adventure, Indie	264710	38
Berzerk Studio	Berzerk Studio	16479	379	688	60	335	60	19.99	19.99	English, French, Japanese, Korean, German, Russian, Simplified Chinese, Traditional Chinese, Italian, Spanish - Spain, Spanish - Latin America, Polish, Portuguese - Portugal, Portuguese - Brazil	{'Rhythm': 352, 'Great Soundtrack': 331, 'Music': 316, 'Bullet Hell': 281, 'Difficult': 274, 'Multiplayer': 217, '2D': 214, 'Indie': 206, 'Action': 182, 'Co-op': 166, 'Singleplayer': 151, 'Local Multiplayer': 141, 'Online Co-Op': 116, 'Local Co-Op': 116, '4 Player Local': 103, 'Fast-Paced': 101, 'Story Rich': 96, 'Colorful': 86, 'Funny': 60, 'Strategy': 38}	Action, Indie	531510	25
David Szymanski	New Blood Interactive	18045	432	376	0	312	0	19.99	19.99	English, Simplified Chinese, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Spanish - Latin America, Traditional Chinese, Turkish, Ukrainian	"{'FPS': 629, 'Retro': 612, 'Shooter': 505, 'Fast-Paced': 469, 'Horror': 456, 'Old School': 451, 'First-Person': 424, 'Great Soundtrack': 413, 'Lovecraftian': 413, ""1990's"": 402, 'Action': 379, 'Dark Humor': 364, 'Singleplayer': 355, 'Classic': 353, 'Atmospheric': 349, 'Arena Shooter': 332, 'Blood': 331, 'Level Editor': 315, 'PvP': 307, 'Bullet Time': 291}"	Action, Indie	519860	27
Nomada Studio	Devolver Digital	60943	2140	190	69	197	69	14.99	14.99	English, French, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Traditional Chinese, Portuguese - Brazil	{'Beautiful': 1629, 'Atmospheric': 1285, 'Great Soundtrack': 1023, 'Indie': 993, 'Female Protagonist': 932, 'Adventure': 673, 'Hand-drawn': 608, 'Platformer': 547, 'Singleplayer': 546, '2D': 528, 'Relaxing': 515, 'Story Rich': 477, 'Puzzle': 367, 'Colorful': 352, 'Puzzle-Platformer': 334, 'Surreal': 314, 'Casual': 231, 'Exploration': 213, 'Walking Simulator': 162, 'Anime': 115}	Adventure, Indie	683320	16
Matt Roszak	Matt Roszak	4584	57	16578	0	29772	0	24.99	24.99	English, French, German, Portuguese - Brazil, Japanese, Korean, Polish, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Vietnamese, Spanish - Spain	{'Funny': 213, 'JRPG': 212, 'Comedy': 187, 'RPG': 183, 'Adventure': 139, 'Turn-Based': 135, 'Turn-Based Combat': 113, 'Strategy': 108, 'Great Soundtrack': 101, 'Singleplayer': 86, 'Indie': 77, '2D': 74, 'Fantasy': 64, 'Anime': 62, 'Parody ': 48, 'Cats': 45, 'Epic': 37, 'Sexual Content': 31, 'Casual': 22, 'Story Rich': 13}	Adventure, RPG, Strategy	432350	22
WarpFrog	WarpFrog	40159	1343	1160	57	465	68	19.99	19.99	English	{'VR': 393, 'Swordplay': 238, 'Action': 218, 'Moddable': 206, 'Gore': 203, 'Violent': 200, 'Magic': 186, 'Sandbox': 182, 'Simulation': 168, 'Physics': 157, 'Medieval': 149, 'Fighting': 147, 'First-Person': 136, 'Singleplayer': 136, 'Fantasy': 132, 'Adventure': 124, 'Early Access': 122, 'RPG': 114, 'Indie': 112, 'Games Workshop': 56, 'VR Only': 1}	Action, Adventure, Indie, RPG, Simulation, Early Access	629730	1
