iter	Passed	Remaining
403	9240	13632
404	9261	13606
405	9282	13581
406	9308	13562
407	9328	13536
408	9350	13511
409	9379	13497
410	9402	13474
411	9426	13453
412	9476	13469
413	9498	13445
414	9524	13425
415	9547	13403
416	9581	13395
417	9602	13369
418	9622	13342
419	9643	13316
420	9663	13290
421	9683	13263
422	9707	13241
423	9728	13215
424	9751	13193
425	9774	13170
426	9794	13143
427	9813	13115
428	9835	13090
429	9856	13065
430	9878	13041
431	9897	13013
432	9918	12987
433	9937	12959
434	9957	12933
435	9978	12907
436	10000	12883
437	10021	12858
438	10041	12831
439	10060	12804
440	10081	12779
441	10108	12760
442	10129	12736
443	10150	12710
444	10170	12684
445	10192	12660
446	10211	12633
447	10232	12607
448	10252	12581
449	10275	12558
450	10295	12532
451	10317	12508
452	10336	12481
453	10357	12456
454	10376	12429
455	10397	12403
456	10417	12377
457	10435	12349
458	10454	12321
459	10474	12295
460	10496	12271
461	10532	12264
462	10555	12242
463	10576	12218
464	10611	12209
465	10631	12183
466	10653	12158
467	10673	12133
468	10694	12108
469	10716	12084
470	10739	12061
471	10761	12037
472	10781	12011
473	10800	11985
474	10821	11960
475	10841	11934
476	10862	11910
477	10885	11887
478	10924	11882
479	10944	11856
480	10964	11830
481	10984	11805
482	11005	11780
483	11026	11755
484	11048	11731
485	11069	11707
486	11090	11682
487	11110	11657
488	11130	11631
489	11150	11605
490	11170	11580
491	11192	11556
492	11211	11530
493	11232	11505
494	11252	11479
495	11271	11453
496	11291	11427
497	11314	11405
498	11336	11382
499	11357	11357
500	11378	11332
501	11398	11308
502	11422	11285
503	11442	11261
504	11463	11236
505	11483	11211
506	11503	11186
507	11523	11160
508	11543	11135
509	11564	11111
510	11587	11088
511	11609	11065
512	11632	11042
513	11666	11030
514	11690	11009
515	11728	11001
516	11755	10982
517	11778	10960
518	11801	10937
519	11826	10916
520	11850	10895
521	11874	10873
522	11899	10852
523	11924	10831
524	11945	10807
525	11968	10784
526	11990	10761
527	12012	10738
528	12035	10716
529	12057	10692
530	12081	10670
531	12102	10646
532	12128	10626
533	12152	10605
534	12175	10582
535	12198	10560
536	12220	10536
537	12256	10524
538	12281	10503
539	12303	10481
540	12327	10458
541	12348	10434
542	12371	10411
543	12392	10387
544	12417	10366
545	12440	10344
546	12463	10321
547	12497	10307
548	12535	10298
549	12559	10276
550	12584	10254
551	12607	10232
552	12631	10210
553	12654	10187
554	12679	10166
555	12702	10143
556	12725	10120
557	12746	10097
558	12768	10072
559	12790	10049
560	12811	10025
561	12831	10000
562	12852	9976
563	12873	9951
564	12895	9928
565	12917	9904
566	12941	9883
567	12961	9858
568	12982	9833
569	13001	9808
570	13022	9783
571	13042	9758
572	13062	9734
573	13082	9709
574	13103	9685
575	13125	9661
576	13145	9636
577	13166	9612
578	13186	9588
579	13207	9563
580	13227	9539
581	13247	9514
582	13268	9490
583	13287	9465
584	13308	9441
585	13333	9419
586	13355	9396
587	13376	9372
588	13397	9348
589	13420	9326
590	13440	9301
591	13460	9276
592	13480	9252
593	13499	9227
594	13520	9202
595	13541	9179
596	13561	9154
597	13582	9130
598	13614	9114
599	13636	9091
600	13657	9066
601	13681	9045
602	13717	9031
603	13744	9011
604	13766	8988
605	13789	8965
606	13808	8940
607	13830	8917
608	13851	8893
609	13872	8869
610	13892	8845
611	13913	8820
612	13934	8796
613	13954	8772
614	13974	8748
615	13994	8724
616	14014	8699
617	14034	8675
618	14054	8650
619	14074	8626
620	14095	8602
621	14115	8578
622	14140	8556
623	14160	8532
624	14180	8508
625	14201	8484
626	14221	8460
627	14242	8436
628	14262	8412
629	14282	8388
630	14301	8363
631	14320	8338
632	14342	8315
633	14362	8291
634	14381	8266
635	14402	8242
636	14421	8218
